nom,adresse,representant,telephone,email,site
ICARE RACING COMPÉTITION,68500 Merxheim,,06 47 63 71 86,christopheandres68@gmail.com,https://www.icareracingcompetition.com
AMICALE DES CLUBS DE VÉHICULES ANCIENS DE L'HÉRAULT,34230 Paulhan,,06 11 58 60 79,patricelarroque@aol.com,http://acva34.over-blog.com
TOURAINE VW EVENEMENTS,37800 Noyant-de-Touraine,,06 08 13 30 35,touraine.vw.evenements@gmail.com,https://www.touraine-vw-evenements.fr
LE CLUB 205,75012 Paris,,06 30 68 12 26,bureau@leclub205.com,https://www.leclub205.com
CRANKSHAFT RACING,39220 Les,,06 65 10 68 77,asso.crankshaftracing@gmail.com,https://crankshaft-racing.assoconnect.com
CLUB CITROËN DE LA BAIE DU MONT-SAINT-MICHEL,50600 Saint-Hilaire-du-Harcouët,,02 33 49 78 45,bourse.st.hilaire.2020@gmail.com,https://clubcitroendelabaie.jimdo.com
VIERZON VINTAGE AIRCOOLED,18100 Vierzon,,06 66 46 00 27,vierzonvintageaircooled@gmail.com,https://www.facebook.com/Vierzon-Vintage-Aircooled-1737793639849261
AUTO RETRO CLUB 79,79400 Saint-Maixent-l,,06 64 19 23 35,autoretroclub79@gmail.com,https://autoretroclub79.wixsite.com/website
NAVIGATION AUTOMOBILE DE RAON L'ETAPE,54540 Vacqueville,,,navigationauto.raonletape@gmail.com,https://nare.club
ROLLS ROYCE BENTLEY CLUB DE LYON,69270 Rochetaillée-sur-Saône,,06 15 93 71 12,bernardlh@free.fr,https://www.rrbclyon.com
CLUB DES AMATEURS DE VOITURES ANCIENNES DES DEUX-SÈVRES,79000 Niort,,06 12 42 84 85,gouinjm@yahoo.fr,http://www.cavads79.fr
MORGAN CLUB DE FRANCE - Section Bretagne,56320 Lanvénégen,,06 03 67 13 31,catherine_forum@hotmail.fr,http://www.morganclubdefrance.com
LES BIKERS NORMANDS,76290 Montivilliers,,06 29 12 00 87,deschamps.marcel@neuf.fr,https://bikersnormands.wixsite.com/albn
AIRCOOLED RIVIERA CLASSIC,83700 Saint-Raphaël,,06 95 42 87 83,contact@aircooledrivieraclassic.com,http://Aircooledrivieraclassic.com
AMICALE DES VÉHICULES ANCIENS DU CHER-NORD,18410 Blancafort,,02 48 58 46 40,milaveau18@gmail.com,
LES ANCIENNES DES NEUF VILLAGES PERCHÉS,83440 Tourrettes,,06 83 87 65 00,anevip.hpa@gmail.com,https://www.anevip.org
LES BELLES D'AUTREFOIS,83570 Entrecasteaux,,04 94 78 13 44,beatrice_fabre@yahoo.fr,https://www.facebook.com/Les-Belles-dAutrefois-316433829308969
IDéale DS® AQUITAINE,33690 Sigalens,,06 07 22 10 36,idealedsaquitaine33@gmail.com,http://www.ideale-ds.com
CALAMINE CLUB,84300 Cavaillon,,06 13 27 88 66,,https://www.facebook.com/people/Calamine-club/100064801926104/
LES BIELLES D'ANTAN 77,77440 Congis-sur-Thérouanne,,06 88 72 96 83,lesbiellesdantan77@gmail.com,http://lesbiellesdantan77.wixsite.com/lesbiellesdantan77
FFVE - Délégué Régional 53-72,72000 Le,,,francis.piquera@ffve.org,https://www.ffve.org
FFVE - Délégué Régional 44-35-56,56390 Grand-Champ,,06 84 84 02 78,gilbert.marchini@ffve.org,https://www.ffve.org
OZOIR EN ANCIENNES,94370 Sucy-en-Brie,,06 11 96 09 31,ozoir_en_anciennes@outlook.fr,https://www.ozoirenanciennes.fr
RÉTRO THAU MOBILE CLUB,34340 Marseillan,,06 82 85 37 95,retro-thau-mobile-club@hotmail.com,
ASSOCIATION CORBIÈRAINE DU PATRIMOINE ROULANT,04220 Corbières-en-Provence,,07 86 10 89 82,acpr@gmx.fr,https://acpr.jimdofree.com
L'ALPINE FRANCILIENNE,77280 Othis,,01 60 03 28 08,lalpinefrancilienne@outlook.fr,http://lalpinefrancilienne.blogspot.com
MENDE AUTO PASSION,48000 Mende,,06 78 34 08 71,mende.autopassion@orange.fr,http://www.mendeautopassion.net
VOLANT CLUB SIVRYEN,77115 Sivry-Courtry,,01 64 52 04 59,eric.fauv@free.fr,
NOS MÉCANIQUES D'ANTAN,33160 Eynesse,,06 85 41 36 36,olivier.laporte21@orange.fr,https://www.nosmecaniquesdantan.com
AMICALE AZUREENNE DES AMATEURS D'ALPINE,06560 Valbonne,,06 31 84 78 04,contact@aaaalpine.org,http://www.aaaalpine.org
LES PASSIONNÉS DE VIEILLES VOITURES DE WERVICQ,13338 -,,0325631333,galle-verstraete@telenet.be,http://www.oldtimermeeting.be
AUTO MOTO CLUB OCCITAN,31480 Cadours,,06 07 85 11 28,historic-motors@orange.fr,
LA BELLE EPOQUE AUTOMOBILE DU BLAISOIS,41260 La,,02 54 81 37 48,contact@belleepoqueautomobile41.fr,http://belleepoqueautomobile41.fr
EMBIELLAGE D'OR 65,65000 Tarbes,,06 72 20 47 95,embiellaor@gmail.com,http://embiellagedor.free.fr
GIEN CLASSIC & PRESTIGE,45500 Saint-Martin-sur-Ocre,,06 79 81 20 10,gien.classic_prestige@yahoo.com,http://gienclassicprestige.fr
ASA GTO,31780 Castelginest,,06 77 06 93 25,asagto31@gmail.com,https://www.facebook.com/ASA.GTO
STEAM,50800 Villedieu-les-Poêles-Rouffigny,,06 33 66 26 47,clubsteam50@gmail.com,https://club-steam50.hubside.fr
RÉTROVISEURS - TERRES DE GASCOGNE,32160 L,,,asso.retroviseurs@gmail.com,https://assoretroviseurs.wixsite.com/accueil
CLUB D'AUMALE,60300 Apremont,,06 75 58 72 83,charles@clubdaumale.org,https://www.rallyedaumale.fr
AUTO MOTO RÉTRO MAMERS,72600 Mamers,,,amrmamers@gmail.com,http://amrmblog.wordpress.com
TROPHÉE HISTORIQUE DES RÉGIONS DE FRANCE,11200 Tourouzelle,,,thrf@orange.fr,http://www.thrf.fr
CLASSIC CAR CLUB OF MORBIHAN,56250 Sulniac,,02 97 61 41 48,classiccarclubmorbihan@gmail.com,https://5c6967c9903bd.site123.me
ARTOIS 2CV CLUB,62410 Wingles,,03 21 37 47 02,artois2cvclubwingles@aol.fr,https://www.facebook.com/artois2cvclubwingles
FIAT 500 ET DÉRIVÉS CLUB DE FRANCE,51370 Saint-Brice-Courcelles,,,club500@free.fr,http://www.club-fiat-500.com
CLUB DES CHEVRONNÉS DE MARLENHEIM,67370 Truchtersheim,,06 61 71 28 21,veronique.bernhard@bbox.fr,https://clubdeschevronnes.wixsite.com/marlenheim
VINTAGE AUTO 83,83190  Ollioules,,06 15 44 50 62,vintageauto83@gmail.com,https://www.vintageauto83.fr
CLUB FLAT 6 ADDICT,38000 Grenoble,,06 28 04 96 17,tlorganisation.vienne@gmail.com,https://www.facebook.com/Flat-6-Addict-112017253698517
AUTO RETRO DU SEIGNANX,40440 Ondres,,06 82 66 40 84,auto-retro-du-seignanx@orange.fr,http://autoretroduseignanx.e-monsite.com
ALFA ROMEO CLUB HAUTS-DE-FRANCE,59262 Sainghin-en-Mélantois,,06 07 75 40 39,alfaromeoclub.hdf@gmail.com,https://www.facebook.com/Alfaromeoclubhdf
VINTAGE PASSION,"59191
cedricmaquel08",,0470459191,cedricmaquel08@gmail.com,
CLUB VINTAGE 43,43260 Lantriac,,07 87 66 76 03,clubvintage43@outlook.fr,https://www.facebook.com/vintage43club
AUTO MOTO RÉTRO HASPARREN,64250 Cambo-les-Bains,,06 98 18 03 78,contact.amrh64@gmail.com,
LUNÉVILLE AUTO-RÉTRO,54300 Lunéville,,06 28 67 02 50,lunevilleautoretro@gmail.com,https://www.facebook.com/lunevilleautoretro
MUSÉE DE VÉHICULES ANCIENS DE PERRIGNY,39570 Perrigny,,06 86 26 85 30,mva39@orange.fr,https://www.museevehiculesanciensjura.fr
LES VIEILLES ROUES,85300 Challans,,06 95 49 92 33,lesvieillesroues4485@gmail.com,
LA TRACTION DU PERIGORD,24310 Brantôme,,05 53 05 85 85,latractionduperigord@sfr.fr,https://www.latractionduperigord.fr
RETRO 57 IMLING,57400 Imling,,06 87 14 02 36,jeanmustang57@gmail.com,
LES YOUNGANCIENNES,12160 Moyrazès,,06 71 03 12 32,scoobydoomania12@outlook.com,
LES ROUES LIBRES,03800 Gannat,,06 11 71 95 28,lesroueslibres03@gmail.com,https://www.facebook.com/groups/876393455821995/
LIMARGUE AIRCOOLED CLUB,46100 Saint-Félix,,06 70 61 96 67,crocket4612@gmail.com,https://www.facebook.com/crocket46/
PASSION RALLYE AVEYRON,12230 Nant,,06 19 65 25 20,contact.pra12230@gmail.com,https://www.facebook.com/groups/482464892464037  
AUTO RETRO SALUCEENNE,91160 Saulx-les-Chartreux,,06 74 55 54 12,autoretrosaluceenne@hotmail.fr,
LES RENAULT D'AVANT-GUERRE,91160 Champlan,,,contact@les-renault-d-avant-guerre.com,http://www.les-renault-d-avant-guerre.com
CARS UTILITAIRES ET COMPAGNIE,42120 Le,,06 07 14 20 44,contact@cars-et-bus.fr,https://cars-et-bus.fr
BARROUDEUCHE 2 CV CLUB,37350 Barrou,,06 82 09 79 37,papydeuche2@gmail.com,
MÉMOIRES SAPEURS POMPIERS ARDÈCHE,07210 Alissas,,,msp07@msp07.fr,http://msp07.fr
LA TRACTION UNIVERSELLE - Section Alsace Franche-Comté,67650 Dambach-la-ville,,,adrien.schaeffer@laposte.net,http://www.la-traction-universelle.org/Presentation_30.html?f1=Alsace-Franche-Comt%C3%A9
CLUB MR2 FRANCE,64170 Artix,,06 73 85 82 36,president@mr2.fr,http://www.mr2.fr
AUTOMOBILES CLUB HOMMELL,35600 Redon,,,automobilesclubhommell@gmail.com,
DEUCH'MENT BIEN,38480 Romagnieu,,06 16 80 21 54,deuchmentbien@gmail.com,
RETROMOBILE CLUB DE MONTHYON,77122 Monthyon,,06 18 42 31 47,pgouin1956@icloud.com,https://www.rmcm77.fr
COURT'AUTO MOTO PASSION,45320 Courtenay,,06 86 56 94 81,phbcamp45@gmail.com,https://www.facebook.com/Court-Auto-Moto-Passion-725710790814096/
TRACTION DES DEUX CHARENTES,17100 Saintes,,06 16 97 55 21,villeger.christian@wanadoo.fr,http://latractiondes2charentes.over-blog.com
SOURSAC CAR'S,19550 Soursac,,05 55 93 23 28,soursac.cars@gmail.com,http://www.soursac-cars.fr
AZA AMICALE,09101 Pamiers,,06 77 14 28 11,azamicale09@protonmail.com,https://azamicale-pamiers.hubside.fr
LES VIEILLES CALANDRES,24330 Blis-et-Born,,06 86 51 91 67,lesvieillescalandres24@gmail.com,
RÉTRO MOBILE CLUB RÉOLAIS,33190 La,,06 21 60 09 65,retromobileclubreolais@orange.fr,http://www.facebook.com/RetroMobileClubReolais/
RALLYE DE BRETAGNE ORGANISATION,56100 Lorient,,06 10 69 35 41,maxmartineau@asa-oceane.com,http://www.rallyebretagne.bzh
VINTAGE CARS AND MOTORBIKES CLUB DU CHAMPSAUR,05260 Ancelle,,06 50 03 44 39,jeanrouleducables@hotmail.fr,
LES VIEILLES GUIMBARDES DU CLUNYSOIS,71250 Bergesserin,,06 86 60 77 81,vieillesguimbardesduclunysois@gmail.com,
SPORTIVES DU 87,87100 Limoges,,,sportivesdu87@gmail.com,https://www.facebook.com/Sportivesdu87
AMICALE PATRIMOINE AUTOMOBILE,13920 Saint-Mitre-les-Remparts,,06 75 07 53 71,vin100lefebvre@orange.fr,
CLUB FORTY-ONE,41000 Blois,,,club-forty-one@orange.fr,https://www.facebook.com/asclubfortyone/
CLUB MG SUD,30210 Remoulins,,06 20 67 86 01,yves.nicolas50@free.fr,http://www.mgsud.sitew.com
AHUY PASSION SPORT-AUTO,21121 Ahuy,,06 74 13 12 10,baudoinmaireybrigitte@gmail.com,
CLUB D'AUTOS ET MOTOS D'EPOQUE,91820 Boutigny-sur-Essonne,,06 75 29 87 15,bernard.missout@outlook.fr,http://lecame91.wixsite.com/came
AVALLON AUTO PASSION,89200 Avallon,,06 62 87 90 60,garnierrobert@ymail.com,https://www.facebook.com/pages/category/Sports-Event/Avallon-Auto-Passion-744547935728507/
TOUR DE NORMANDIE DES VÉHICULES HISTORIQUES,14480 Bazenville,,06 28 33 00 75,info@tourdenormandie.com,https://www.tourdenormandie.com
LES AMATEURS D'AUTOMOBILES ANCIENNES,69006 Lyon,,04 72 12 14 95,epoquauto@les3a.com,http://www.les3a.com
AUTOMOBILES D'ORIGINE ET DE COLLECTION,71100 Saint-Marcel,,06 81 84 58 49,pascal.ligier@gmail.com,http://aoc-beaune-vhc.org
CLUB AUTOS MOTOS ANCIENNES,62180 Verton,,,cama.hdf@gmail.com,https://www.facebook.com/CAMA.HDF/
AUTO MOTO CORBIE-3 VALLÉES,80260 Hérissart,,03 22 76 53 26,m.c.breant@orange.fr,
AUTOMOTO RETRO DU PAGNOTTE,60700 Pontpoint,,07 87 45 00 34,easyclean71grazia@gmail.com,
GOLF GANG STAR,83210 La,,06 17 49 57 87,jcg83@hotmail.fr,https://golf-gang-star.hubside.fr
LES VIEILLES SOUPAPES MORVANDELLES,58800 Cervon,,06 85 19 75 54,stephane.pulido@orange.fr,https://www.facebook.com/Les-Vieilles-Soupapes-Morvandelles-663519303730443/
AUTOS MOTOS ANTIQUES,84600 Richerenches,,06 22 47 16 73,ama.autosmotosantiques84@outlook.fr,
SCOOTER CLUB LYONNAIS,69100 villeurbanne,,06 10 64 88 81,president@scooterclublyonnais.com,http://www.scooterclublyonnais.com
LIGUE SCOOTERISTE BEAUJOLAIS,69480 Lucenay,,06 30 29 80 13,bayard.damien@neuf.fr,https://www.facebook.com/103460151015039/photos/a.103460231015031/103494474344940/
RÉTRO-PASSION PÉROIS,85540 Le,,06 48 15 29 51,ladelphiniere@orange.fr,
LES AUTOS D'YERRES,77170 Coubert,,06 07 75 05 98,lesautosdyerres@orange.fr,https://www.facebook.com/groups/620824086146986
AMICALE D'AMATEURS D'AUTOMOBILES ANCIENNES,58150 Suilly-la-Tour,,06 63 96 00 57,4a.amicale@gmail.com,
ESSONNE AUTO RETRO,91240 Saint-Michel-sur-Orge,,06 60 67 41 10,essonne.auto.retro@gmail.com,https://essonneautoretro.blogspot.com
LES AMIS DES PEUGEOT 01,11220 Villetritouls,,04 68 24 04 95,contact@lesamisdespeugeot01.fr,http://www.lesamisdespeugeot01.fr 
RÉTRO DORE,63190 Orléat,,06 37 09 53 30,contact.retrodore63@gmail.com,https://retrodore63.wixsite.com/retrodore
LES AIGLES CHENARD & WALCKER CLUB - Région Provence et sud-ouest,84450 Saint-Saturnin-lès-Avignon,,06 03 46 78 83,lesaigleschenardwalcker@gmail.com,https://chenardetwalcker.fr
LE MANS SARTHE AUTO PASSION,72380 Sainte-Jamme-sur-Sarthe,,06 67 06 62 56,lemans.sarthe.auto.passion@gmail.com,
CLUB AUTOMOBILE MARTIN,44600 Saint-Nazaire,,06 50 45 45 77,asso.nicolaspatrick@free.fr,https://www.clubautomobilemartin.fr
AUTO MOTO PASSION SÉRENTAISE,56460 Serent,,06 48 45 87 42,pierre.louis56@orange.fr,
AUTO MOTO RÉTRO NAJAC,12270 Najac,,06 33 35 00 01,jacques-gauchy@orange.fr,
RÉTRO MOBILE CLUB DU BAZADAIS,33430 Bazas,,06 78 44 98 18,retromobiledubazadais@gmail.com,http://www.retromobiledubazadais.com
GIULIETTA FESTIVAL,13330 Pélissanne,,06 11 95 35 70,giuliettafestival@gmail.com,
LES 2 CV DE SOLOGNE,41250 Mont-près-Chambord,,06 74 48 61 05,president.club@les2cv-desologne.fr,http://www.les2cv-desologne.fr
ALPINE LEGENDE UNIVERS,85800 Saint-Gilles-Croix-de-Vie,,06 12 71 87 80,contact@bsracing.fr,http://bsracing.fr/club-alpine-moderne-legende-univers/
2 CV SUD VENDÉE,85580 Saint-Michel-en-l,,06 36 11 47 64,contact@sudvendee.fr,https://2cvsudvendee.wixsite.com/2cvsudvendee
LES DEUCHE DU PAYS BEAUNOIS,21600 Fénay,,06 72 64 68 02,2cvbb@orange.fr,http://2cvpb.fr
CLUB DATSUN FRANCE,78000 Versailles,,06 34 40 30 80,contact@datsun-france.fr,https://www.facebook.com/datsun.france
LES AMIS DU TYPE H - Section Ile-de-France,93700 Drancy,,06 63 17 37 37,bruno.deltombe@gmail.com,http://lesamisdutypeh.com
ECURIE SOLEIL CLASSIC,13600 La,,06 12 77 28 12,contact@ecuriesoleilclassic.fr,http://ecuriesoleilclassic.fr
ALSACE RÉTRO LOCOMOTION,68570 Soultzmatt,,06 61 98 10 43,alsaceretrolocomotion@gmail.com,
ROULER LIBRE - UDELCIM,75010 Paris,,06 52 90 21 94,contact@roulerlibre.com,https://www.roulerlibre.com
AMICALE MOTOS ANCIENNES SALERNOISE,83690 Salernes,,06 50 78 35 82,amicalemoto@aol.com,https://www.facebook.com/Amicale-Motos-Anciennes-Salernoise-100603939074379/
LES VIEUX PISTONS DU 77,77280 Othis,,07 82 22 75 22,lesvieuxpistons77@free.fr,https://www.facebook.com/Lesvieuxpistonsdu77/
VW COX ET COMBI 53,53500 Vautorte,,06 31 86 09 69,sebastienboitiere@gmail.com,
CLASSIC AUTO PYRÉNÉES,65000 Tarbes,,06 86 85 10 85,classicautopyrenees@gmail.com,https://www.classicautopyrenees.fr
CIRCUIT DE CADOURS LARÉOLE,31480 Cadours,,06 82 69 86 66,contact@circuitdecadours.com,http://www.circuitdecadours.com
LES CAPOTES ANGLAISES,59300 Valenciennes,,,contact@capotesanglaises.club,http://www.capotesanglaises.club
LA CLÉ DE DOUZE,63380 Pontaumur,,06 83 06 47 72,sebastiencombre63@gmail.com,
LES PAPY'S 4L,62930 Wimereux,,03 61 13 41 93,papys4l@orange.fr,
TEAM LBG,86360 Chasseneuil,,06 50 80 99 85,team-lbg@sfr.fr,
AMERICAN CLUB DE BERGERAC,24100 Bergerac,,06 77 64 08 44,christophe.villechanoux@club-internet.fr,https://www.facebook.com/americanclubdebergerac
FRENCH JAGUAR DRIVERS' CLUB,75008 Paris,,06 28 34 09 09,secretaire@fjdc.fr,http://www.fjdc.fr
ANCIENNES MÉCANIQUES MACÉRIENNES,35520 La,,06 95 62 25 59,a2m35520@gmail.com,https://a2m35520.wixsite.com/lameziere
MG CLUB DE FRANCE - Section Bourgogne,21200 Beaune,,06 71 95 37 03,bourgogne@mgclubdefrance.com,https://www.mgclubdefrance.com
LA  BIELLE  ROULANTE,81120 Realmont,,06 09 73 14 20,duguesclinfranck@orange.fr,https://www.labielleroulante.fr
SCOOTER CLUB DU BEARN,64160 Gabaston,,,scooterclubbearn@laposte.net,https://www.facebook.com/ScooterClubduBearn/
DRIVE PASSION,69680 Chassieu,,,drivepassion69@gmail.com,https://www.facebook.com/DrivePassion69/
CITROËN CENTURY CLUB,33770 Salles,,,contact@citroencenturyclub.fr,http://www.citroencenturyclub.fr
CLASSIC AUTO RÉTRO PASSION,34340 Marseillan,,06 95 75 79 12,stephane@classicautoretropassion.com,
COX DU MATZ,60310 Roye-sur-Matz,,06 17 19 65 36,coxdumatz@hotmail.com,https://www.facebook.com/groups/151336258801179/
SANGUINET VÉHICULES D'ANTAN,40460 Sanguinet,,06 03 60 93 57,sva40460@gmail.com,https://sites.google.com/view/sva40460
ASSOCIATION DU TOUR DE LORRAINE DES AUTOMOBILES ANCIENNES,54136 Bouxières-aux-Dames,,06 86 55 54 98,president@atl2a.fr,http://www.atl2a.fr
CAPESTANG CLASSIQUES,34310 Capestang,,06 01 44 43 30,capestangclassiques@gmail.com,http://capestangclassiques.jimdo.com
ASSOCIATION MOTOS ANCIENNES DE LISTRAC,33480 Listrac-Medoc,,06 81 84 48 98,rochereaujm@orange.fr,https://medoc-motoancienne.skyrock.com
ROADMEN CLUB CAR CHAPTER NORTH EAST,60650 Espaubourg,,06 72 32 57 88,herve.raymond1@free.fr,https://www.facebook.com/Roadmen-Car-Club-North-East-Chapter-1586637581407935/
CLUB JAG31,31700 Cornebarrieu,,06 08 63 16 84,francine.debiais@wanadoo.fr,https://www.clubjag31.com
RETRO PASSION 70,70000 Vesoul,,06 02 01 60 10,retropassion-70@orange.fr,https://www.facebook.com/p/R%C3%A9tro-Passion-70-100071749958719
LES VIEUX PISTONS PÉRIGORDINS,24370 Cazoulès,,06 09 35 17 21,gordi24@orange.fr,https://www.facebook.com/gordi24
VAR ALPINE LEGENDE,83340 Le,,06 82 12 30 47,varalpinelegende@gmail.com,http://www.facebook.com/varalpinelegende
US CAR CENTRE,45000 Orléans,,02 38 72 14 40,uscarcentre@yahoo.fr,https://www.facebook.com/uscarcentre/
THIERACHE AUTO MOTO RÉTRO PASSION,02260 La,,03 23 97 34 19,tamrp02@gmail.com,
TACOT'S CLUB GASCON,32000 Auch,,,tacotsclubgascon@gmail.com,https://www.tacotsclubgascon.org
ASSOCIATION LORRAINE DES AMATEURS D'AUTOMOBILES DE COLLECTION ET DE LOISIRS,54840 Velaine-en-Haye,,03 83 23 28 38,alaacl@wanadoo.fr,http://www.musee-auto-lorraine.fr
AMICALE BELMONTAISE ROULER AUTREMENT,12370 Belmont-sur-Rance,,06 32 07 06 69,abrabelmontsurrance@hotmail.com,https://www.facebook.com/AbraBelmontsurrance
BREIZH CARBU,35580 Guignen,,06 09 35 84 88,breizhcarbu@gmail.com,http://breizhcarbu.e-monsite.com
LE RETRO CLUB DES FLANDRES,59470 Wormhout,,07 87 15 65 10,vandermarliere.joel@hotmail.com,
JZR PILOTS' ASSOCIATION,38150 Bougé-Chambalud,,06 82 34 81 96,jzrpilots@gmail.com,https://www.facebook.com/JZR-Pilots-Association-1135021943223426/
LES BELLES MECANIQUES 738,38570 Goncelin,,06 75 23 71 05,president.bm738@gmail.com,
AUTO CLUB DES COMBRAILLES,63700 Saint-Éloy-les-Mines,,06 52 57 73 80,auto.club.des.combrailles1@outlook.fr,
ALLEVARD RÉTRO AUTOMOBILE,38830 Saint-Pierre-d,,06 63 25 60 23,mitch38d@free.fr,https://www.facebook.com/labellemecanique2010/
CLUB AUTO RETRO PASSION,60440 Nanteuil-le-Haudouin,,07 82 23 89 42,carp@boularand.com,
LOUVIGNIES RÉTRO MÉCANIQUES,59530 Louvignies-Quesnoy,,06 88 77 82 18,retro.mecaniques@gmail.com,https://m.facebook.com/groups/541543872687565
LES BOURGEOISES D'ANTAN DU CALAISIS,62730 Marck,,06 17 29 91 37,lesbourgeoises.dantan@orange.fr,
ASSOCIATION DES AMOUREUX DE LA MÉCANIQUE ANCIENNE,30320 Marguerittes,,06 80 13 83 39,jeanphilippemestre@yahoo.fr,
CLUB ALPINE DIEPPE,76200 Dieppe,,06 08 42 49 17,jj-b-alpine@orange.fr,https://cadieppealpines.jimdo.com
CLUB RETRO AUTO MOTO TONNACQUOIS,17430 Tonnay-Charente,,05 46 88 00 19,cramt17430@gmail.com,
RETRO RALLYE 34,34660 Cournonterral,,06 83 25 78 75,retrorallye34660@gmail.com,https://retrorallye.jimdofree.com
LES BELLES D'ANTAN DU GEVAUDAN,43580 Saint-Préjet-d,,06 23 52 04 22,lesbellesdantandugevaudan@gmail.com,
AMATEURS DE VÉHICULES VINTAGE DE L'EST,88160 Le,,06 43 20 69 74,a2ve@orange.fr,https://www.a-2v-e.fr
AMIS - Section Autos Motos collection,13120 Gardanne,,06 16 77 46 40,amis13@laposte.net,http://asso.ville-gardanne.fr/Annuaire
MÉCANIQUES ANCIENNES DU THELLE,60730 Lachapelle-Saint-Pierre,,06 37 88 24 42,leclubmat60@gmail.com,https://www.clubmat.fr
LES VIEILLES MÉCANIQUES BRIONNAISES,36110 Brion,,06 73 29 62 23,guy.boue@wanadoo.fr,
DEUCH'VEAU CLUB CHAROLAIS,71120 Charolles,,06 75 41 30 67,deuchveauclubcharolais@gmail.com,http://www.deuch-veau-club-charolais.fr
STREETCAR13,13700 Marignane,,06 75 92 70 19,jumpstyleric@hotmail.fr,https://www.facebook.com/streetcar13/
LES FOUS DU VOLANT,69690 Bessenay,,06 29 60 73 03,celine69610@live.fr,
CAR GOLFE DU LION,34290 Abeilhan,,04 67 39 19 32,drabaud@wanadoo.fr,https://car-golfe-du-lion.wixsite.com/car-golfe-du-lion
RETRO MOTO CLUB 67,67120 Molsheim,,06 01 93 55 05,eric.chauve@orange.fr,http://retromotoclub67.over-blog.fr
BIELLES BREVANNAISES,39100 Brevans,,06 78 17 22 49,bielles.brevannaises@laposte.net,https://www.facebook.com/bielles/
LE RETOUR DES VIEUX VOLANTS,13500 Martigues,,06 12 78 91 07,retour-des-vieux-volants@outlook.fr,
GARDANNE CAR,13120 Gardanne,,06 41 40 54 79,turbosebastien@gmail.com,
NOS VÉHICULES D'EPOQUE,73610 Attignat-Oncin,,04 79 36 05 97,nos_vehicules_depoque@outlook.fr,
SUD AVEYRON VÉHICULES ANCIENS,12100 Millau,,05 65 60 25 02,sava.12@orange.fr,https://sava-aveyron.fr
VIEILLES SOUPAPES DU RIED,67600 Hilsenheim,,03 88 85 45 08,garage.haegeli@orange.fr,
LES BELLES AMÉRICAINES GIRONDINES,33140 Villenave,,06 09 84 79 87,bernard.debuc@neuf.fr,
AUTOS COLLECTIONS CLUNISOIS CHAROLAIS,71120 Charolles,,,a3c.charolles@gmail.com,http://club.a3c.free.fr
FAN AUTO MOTO,11200 Canet,,04 68 45 20 67,lafargue-alain@orange.fr,
AUTOMOBILE CLASSIQUE BARSÉQUANAISE,10110 Bar-sur-Seine,,06 48 69 50 23,acbarsequanaise@gmail.com,https://www.facebook.com/ACBarsequanaise/
ECURIE CORAIL,42190 Saint-Nizier-sous-Charlieu,,06 81 38 18 31,claudeberger@neuf.fr,http://www.e-corail.fr
AMICALE DES DURITES VERTES,42430 Champoly,,04 77 62 64 71,christian.quibier@sfr.fr,https://lesduritesvertes.wixsite.com/champolymoto
LE NEZ DE COCHON,01340 Foissiat,,06 67 50 54 79,ndc01340@gmail.com,
ÉCURIE DU VERROU ROGNES,13840 Rognes,,06 50 02 15 85,ecurieduverrourognes@gmail.com,https://www.facebook.com/groups/9085495594805587/
ASSOCIATION DU RALLYE DES MÉMOIRES D'ARGONNE,51800 Sainte-Menehould,,06 08 06 03 75,rallyedargonne@gmail.com,https://www.facebook.com/rallyearma/
ADALA,59580 Aniche,,06 07 28 62 19,marie-anne.forconi@hotmail.fr,http://adala.aniche.free.fr
BOURSE AUTO MOTO NÈGREPELISSE,82800 Nègrepelisse,,06 25 64 49 97,bourse82800@laposte.net,https://www.facebook.com/bourse82800
LANCIA CLUB FRANCE,75001 Paris,,,sferic-pottier@wanadoo.fr,http://lanciaclubfrance.com
VINTAGE ROAD TRIP,34000 Montpellier,,06 51 93 22 56,vintage-roadtrip@orange.fr,https://vintage-roadtrip.wixsite.com/vintageroadtrip
MOTO CLUB D'ARCHIGNY LES PÉDACHES,86210 Archigny,,07 81 36 19 75,motoclubarchigny@gmail.com,
ASSOCIATION DU RÉTRO VOSGES,88800 Vittel,,06 22 90 13 81,associationretrovosges@gmail.com,http://www.associationduretrovosges.fr
CLUB DES AMATEURS D'ANCIENNES RENAULT - CAR SANDOUVILLE/LE HAVRE,27290 Condé-sur-Risle,,06 15 55 37 90,alain.courel@yahoo.com,http://www.carsandouvillelehavre.fr
CLUB RETRO JURA BRESSE,39140 Bletterans,,06 33 13 19 64,asso.crjb@gmail.com,http://vehicule-epoque-jura.org
LES COPAINS DE TITINE,64300 Biron,,06 08 25 64 52,contact@les-copains-de-titine.com,http://www.les-copains-de-titine.com
LES FOUS DES PISTONS,68490 Petit,,06 79 64 34 69,lesfousdespistons@gmail.com,https://www.facebook.com/Les-fous-des-pistons-1247893755321804/
LES VIEUX PISTONS DE LUANT,36350 Luant,,06 27 03 43 04,lesvieuxpistonsdeluant@gmail.com,
AMICALE ALPINE RENAULT DU CHER,18000 Bourges,,,aarc18000@orange.fr,http://www.aarc.e-monsite.com
