nom,adresse,telephone,email,representant,site,source,doublon_de,raison
MG CLUB DE FRANCE - Section Ile-de-France,91460 Marcoussis,06 62 96 53 83,gilles.surel@mgclubdefrance.com,,https://mgclubdefrance.com,retrocalage,MG CLUB DE FRANCE,email: gilles.surel@mgclubdefrance.com
VÉHICULES ANCIENS GOUESNOU,29850 Gouesnou,06 83 48 54 79,vehiculesanciensgouesnou29@gmail.com,,https://www.facebook.com/vehiculesanciensgouesnou/,retrocalage,VÉHICULES ANCIENS GOUESNOU - VAG,email: vehiculesanciensgouesnou29@gmail.com
BMW CLUB DE FRANCE,10300 Macey,03 25 70 02 97,bmw.club.de.france@gmail.com,,https://bmwclubdefrance.org,retrocalage,BMW CLUB DE FRANCE,email: bmw.club.de.france@gmail.com
ASSOCIATION BERLINE COUPÉ CABRIOLET FIAT & ABARTH 124-850,83390 Pierrefeu-du-Var,06 80 13 28 73,abccfiat@gmail.com,,https://abccfiat.org,retrocalage,ASSOCIATION BERLINE COUPÉ CABRIOLET FIAT 124-850 ET ABARTH,email: abccfiat@gmail.com
CLUB RÉTR'AUTO DU GATINAIS,45220 Saint-Germain-des-Prés,06 13 62 30 99,retrautodugatinais@gmail.com,,https://www.facebook.com/groups/retrautodugatinais,retrocalage,CLUB RÉTR'AUTO DU GTINAIS,email: retrautodugatinais@gmail.com
LES AMIS DU CIRCUIT DE GUEUX,51390 Gueux,06 86 18 87 96,contact@amis-du-circuit-de-gueux.fr,,https://www.amis-du-circuit-de-gueux.fr,retrocalage,LES AMIS DU CIRCUIT DE GUEUX - ACG,email: contact@amis-du-circuit-de-gueux.fr
AUTO RETRO CLUB 79,79400 Saint-Maixent-l,06 64 19 23 35,autoretroclub79@gmail.com,,https://autoretroclub79.wixsite.com/website,retrocalage,AUTO RÉTRO CLUB 79,email: autoretroclub79@gmail.com
CLUB DES AMATEURS DE VOITURES ANCIENNES DES DEUX-SÈVRES,79000 Niort,06 12 42 84 85,gouinjm@yahoo.fr,,http://www.cavads79.fr,retrocalage,CLUB DES AMATEURS DE VOITURES ANCIENNES DES DEUX-SÈVRES - CAVADS,email: gouinjm@yahoo.fr
LES BELLES D'AUTREFOIS,83570 Entrecasteaux,04 94 78 13 44,beatrice_fabre@yahoo.fr,,https://www.facebook.com/Les-Belles-dAutrefois-316433829308969,retrocalage,LES BELLES D'AUTREFOIS,email: beatrice_fabre@yahoo.fr
IDéale DS® AQUITAINE,33690 Sigalens,06 07 22 10 36,idealedsaquitaine33@gmail.com,,http://www.ideale-ds.com,retrocalage,IDÉALE DS AQUITAINE,tel: 0607221036
EMBIELLAGE D'OR 65,65000 Tarbes,06 72 20 47 95,embiellaor@gmail.com,,http://embiellagedor.free.fr,retrocalage,EMBIELLAGE D'OR 65,email: embiellaor@gmail.com
AUTO MOTO RÉTRO MAMERS,72600 Mamers,,amrmamers@gmail.com,,http://amrmblog.wordpress.com,retrocalage,AUTOS MOTOS RÉTRO DE MAMERS - AMRM,email: amrmamers@gmail.com
CLASSIC CAR CLUB OF MORBIHAN,56250 Sulniac,02 97 61 41 48,classiccarclubmorbihan@gmail.com,,https://5c6967c9903bd.site123.me,retrocalage,CLASSIC CAR CLUB OF MORBIHAN,email: classiccarclubmorbihan@gmail.com
ARTOIS 2CV CLUB,62410 Wingles,03 21 37 47 02,artois2cvclubwingles@aol.fr,,https://www.facebook.com/artois2cvclubwingles,retrocalage,ARTOIS 2 CV CLUB,email: artois2cvclubwingles@aol.fr
CLUB FLAT 6 ADDICT,38000 Grenoble,06 28 04 96 17,tlorganisation.vienne@gmail.com,,https://www.facebook.com/Flat-6-Addict-112017253698517,retrocalage,FLAT 6 ADDICT,tel: 0628049617
AUTO RETRO DU SEIGNANX,40440 Ondres,06 82 66 40 84,auto-retro-du-seignanx@orange.fr,,http://autoretroduseignanx.e-monsite.com,retrocalage,AUTO RÉTRO DU SEIGNANX,email: auto-retro-du-seignanx@orange.fr
ALFA ROMEO CLUB HAUTS-DE-FRANCE,59262 Sainghin-en-Mélantois,06 07 75 40 39,alfaromeoclub.hdf@gmail.com,,https://www.facebook.com/Alfaromeoclubhdf,retrocalage,ALFA ROMEO CLUB HAUTS-DE-FRANCE,email: alfaromeoclub.hdf@gmail.com
LUNÉVILLE AUTO-RÉTRO,54300 Lunéville,06 28 67 02 50,lunevilleautoretro@gmail.com,,https://www.facebook.com/lunevilleautoretro,retrocalage,LUNÉVILLE AUTO-RÉTRO,email: lunevilleautoretro@gmail.com
LA TRACTION DU PERIGORD,24310 Brantôme,05 53 05 85 85,latractionduperigord@sfr.fr,,https://www.latractionduperigord.fr,retrocalage,LA TRACTION DU PÉRIGORD,email: latractionduperigord@sfr.fr
LES RENAULT D'AVANT-GUERRE,91160 Champlan,,contact@les-renault-d-avant-guerre.com,,http://www.les-renault-d-avant-guerre.com,retrocalage,LES RENAULT D'AVANT-GUERRE,email: contact@les-renault-d-avant-guerre.com
COURT'AUTO MOTO PASSION,45320 Courtenay,06 86 56 94 81,phbcamp45@gmail.com,,https://www.facebook.com/Court-Auto-Moto-Passion-725710790814096/,retrocalage,COURT'AUTO MOTO PASSION,tel: 0686569481
AZA AMICALE,09101 Pamiers,06 77 14 28 11,azamicale09@protonmail.com,,https://azamicale-pamiers.hubside.fr,retrocalage,AZA - AZ AMICALE,email: azamicale09@protonmail.com
LES VIEILLES GUIMBARDES DU CLUNYSOIS,71250 Bergesserin,06 86 60 77 81,vieillesguimbardesduclunysois@gmail.com,,,retrocalage,LES VIEILLES GUIMBARDES DU CLUNYSOIS,email: vieillesguimbardesduclunysois@gmail.com
AMICALE PATRIMOINE AUTOMOBILE,13920 Saint-Mitre-les-Remparts,06 75 07 53 71,vin100lefebvre@orange.fr,,,retrocalage,AMICALE PATRIMOINE AUTOMOBILE - APA CÔTE BLEUE,email: vin100lefebvre@orange.fr
CLUB MG SUD,30210 Remoulins,06 20 67 86 01,yves.nicolas50@free.fr,,http://www.mgsud.sitew.com,retrocalage,CLUB MG SUD,tel: 0620678601
TOUR DE NORMANDIE DES VÉHICULES HISTORIQUES,14480 Bazenville,06 28 33 00 75,info@tourdenormandie.com,,https://www.tourdenormandie.com,retrocalage,ASSOCIATION TOUR DE NORMANDIE DES VÉHICULES HISTORIQUES,email: info@tourdenormandie.com
LES AMATEURS D'AUTOMOBILES ANCIENNES,69006 Lyon,04 72 12 14 95,epoquauto@les3a.com,,http://www.les3a.com,retrocalage,AMICALE DES AMATEURS D'AUTOMOBILES ANCIENNES - A3A,email: epoquauto@les3a.com
GOLF GANG STAR,83210 La,06 17 49 57 87,jcg83@hotmail.fr,,https://golf-gang-star.hubside.fr,retrocalage,GOLF GANG STAR,tel: 0617495787
AUTOS MOTOS ANTIQUES,84600 Richerenches,06 22 47 16 73,ama.autosmotosantiques84@outlook.fr,,,retrocalage,AMA AUTOS MOTOS ANTIQUES DE L'ENCLAVE DES PAPES,tel: 0622471673
ESSONNE AUTO RETRO,91240 Saint-Michel-sur-Orge,06 60 67 41 10,essonne.auto.retro@gmail.com,,https://essonneautoretro.blogspot.com,retrocalage,ESSONNE AUTO RÉTRO,email: essonne.auto.retro@gmail.com
LES AIGLES CHENARD & WALCKER CLUB - Région Provence et sud-ouest,84450 Saint-Saturnin-lès-Avignon,06 03 46 78 83,lesaigleschenardwalcker@gmail.com,,https://chenardetwalcker.fr,retrocalage,LES AIGLES CHENARD ET WALCKER CLUB,email: lesaigleschenardwalcker@gmail.com
LES 2 CV DE SOLOGNE,41250 Mont-près-Chambord,06 74 48 61 05,president.club@les2cv-desologne.fr,,http://www.les2cv-desologne.fr,retrocalage,LES 2 CV DE SOLOGNE,tel: 0674486105
ALPINE LEGENDE UNIVERS,85800 Saint-Gilles-Croix-de-Vie,06 12 71 87 80,contact@bsracing.fr,,http://bsracing.fr/club-alpine-moderne-legende-univers/,retrocalage,BS RACING - ALPINE LEGENDE UNIVER,email: contact@bsracing.fr
LES DEUCHE DU PAYS BEAUNOIS,21600 Fénay,06 72 64 68 02,2cvbb@orange.fr,,http://2cvpb.fr,retrocalage,LES DEUCHES DU PAYS BEAUNOIS,email: 2cvbb@orange.fr
CLUB DATSUN FRANCE,78000 Versailles,06 34 40 30 80,contact@datsun-france.fr,,https://www.facebook.com/datsun.france,retrocalage,CLUB DATSUN FRANCE,email: contact@datsun-france.fr
LES AMIS DU TYPE H - Section Ile-de-France,93700 Drancy,06 63 17 37 37,bruno.deltombe@gmail.com,,http://lesamisdutypeh.com,retrocalage,LES AMIS DU TYPE H,tel: 0663173737
CLASSIC AUTO PYRÉNÉES,65000 Tarbes,06 86 85 10 85,classicautopyrenees@gmail.com,,https://www.classicautopyrenees.fr,retrocalage,CLASSIC AUTO PYRÉNÉES,email: classicautopyrenees@gmail.com
CIRCUIT DE CADOURS LARÉOLE,31480 Cadours,06 82 69 86 66,contact@circuitdecadours.com,,http://www.circuitdecadours.com,retrocalage,ASSOCIATION CIRCUIT AUTOMOBILE CADOURS - LARÉOLE,email: contact@circuitdecadours.com
FRENCH JAGUAR DRIVERS' CLUB,75008 Paris,06 28 34 09 09,secretaire@fjdc.fr,,http://www.fjdc.fr,retrocalage,JAGUAR DRIVERS' CLUB FRANCE,email: secretaire@fjdc.fr
ANCIENNES MÉCANIQUES MACÉRIENNES,35520 La,06 95 62 25 59,a2m35520@gmail.com,,https://a2m35520.wixsite.com/lameziere,retrocalage,ANCIENNES MÉCANIQUES MACÉRIENNES A2M,email: a2m35520@gmail.com
ASSOCIATION DU TOUR DE LORRAINE DES AUTOMOBILES ANCIENNES,54136 Bouxières-aux-Dames,06 86 55 54 98,president@atl2a.fr,,http://www.atl2a.fr,retrocalage,ATL2A,tel: 0686555498
CAPESTANG CLASSIQUES,34310 Capestang,06 01 44 43 30,capestangclassiques@gmail.com,,http://capestangclassiques.jimdo.com,retrocalage,CAPESTANG CLASSIQUES,email: capestangclassiques@gmail.com
CLUB JAG31,31700 Cornebarrieu,06 08 63 16 84,francine.debiais@wanadoo.fr,,https://www.clubjag31.com,retrocalage,CLUB JAG 31,tel: 0608631684
TACOT'S CLUB GASCON,32000 Auch,,tacotsclubgascon@gmail.com,,https://www.tacotsclubgascon.org,retrocalage,TACOT'S CLUB GASCON,email: tacotsclubgascon@gmail.com
ASSOCIATION LORRAINE DES AMATEURS D'AUTOMOBILES DE COLLECTION ET DE LOISIRS,54840 Velaine-en-Haye,03 83 23 28 38,alaacl@wanadoo.fr,,http://www.musee-auto-lorraine.fr,retrocalage,MUSÉE AUTOMOBILE DE LORRAINE,tel: 0383232838
LE RETRO CLUB DES FLANDRES,59470 Wormhout,07 87 15 65 10,vandermarliere.joel@hotmail.com,,,retrocalage,RÉTRO CLUB DES FLANDRES,email: vandermarliere.joel@hotmail.com
CLUB AUTO RETRO PASSION,60440 Nanteuil-le-Haudouin,07 82 23 89 42,carp@boularand.com,,,retrocalage,CLUB AUTO RÉTRO PASSION,tel: 0782238942
LES BOURGEOISES D'ANTAN DU CALAISIS,62730 Marck,06 17 29 91 37,lesbourgeoises.dantan@orange.fr,,,retrocalage,LES BOURGEOISES D'ANTAN DU CALAISIS,email: lesbourgeoises.dantan@orange.fr
ASSOCIATION DES AMOUREUX DE LA MÉCANIQUE ANCIENNE,30320 Marguerittes,06 80 13 83 39,jeanphilippemestre@yahoo.fr,,,retrocalage,ASSOCIATION DES AMOUREUX DE LA MÉCANIQUE ANCIENNE - AAMA,email: jeanphilippemestre@yahoo.fr
AMATEURS DE VÉHICULES VINTAGE DE L'EST,88160 Le,06 43 20 69 74,a2ve@orange.fr,,https://www.a-2v-e.fr,retrocalage,A2VE,email: a2ve@orange.fr
AMIS - Section Autos Motos collection,13120 Gardanne,06 16 77 46 40,amis13@laposte.net,,http://asso.ville-gardanne.fr/Annuaire,retrocalage,ARTS MOUVEMENTS INITIATIVES SPORTS - AMIS,tel: 0616774640
MÉCANIQUES ANCIENNES DU THELLE,60730 Lachapelle-Saint-Pierre,06 37 88 24 42,leclubmat60@gmail.com,,https://www.clubmat.fr,retrocalage,MÉCANIQUES ANCIENNES DU THELLE - M.A.T.,email: leclubmat60@gmail.com
DEUCH'VEAU CLUB CHAROLAIS,71120 Charolles,06 75 41 30 67,deuchveauclubcharolais@gmail.com,,http://www.deuch-veau-club-charolais.fr,retrocalage,DEUCH' VEAU CLUB CHAROLAIS,email: deuchveauclubcharolais@gmail.com
CAR GOLFE DU LION,34290 Abeilhan,04 67 39 19 32,drabaud@wanadoo.fr,,https://car-golfe-du-lion.wixsite.com/car-golfe-du-lion,retrocalage,CAR GOLFE DU LION - CLUB DES AMATEURS D'ANCIENNES RENAULT,email: drabaud@wanadoo.fr
BIELLES BREVANNAISES,39100 Brevans,06 78 17 22 49,bielles.brevannaises@laposte.net,,https://www.facebook.com/bielles/,retrocalage,BIELLES BREVANNAISES,email: bielles.brevannaises@laposte.net
VIEILLES SOUPAPES DU RIED,67600 Hilsenheim,03 88 85 45 08,garage.haegeli@orange.fr,,,retrocalage,LES VIEILLES SOUPAPES DU RIED,email: garage.haegeli@orange.fr
FAN AUTO MOTO,11200 Canet,04 68 45 20 67,lafargue-alain@orange.fr,,,retrocalage,FAN-AUTO-MOTO,email: lafargue-alain@orange.fr
ECURIE CORAIL,42190 Saint-Nizier-sous-Charlieu,06 81 38 18 31,claudeberger@neuf.fr,,http://www.e-corail.fr,retrocalage,ÉCURIE CORAIL,email: claudeberger@neuf.fr
CLUB DES AMATEURS D'ANCIENNES RENAULT - CAR SANDOUVILLE/LE HAVRE,27290 Condé-sur-Risle,06 15 55 37 90,alain.courel@yahoo.com,,http://www.carsandouvillelehavre.fr,retrocalage,CAR SANDOUVILLE/LE HAVRE - CLUB DES AMATEURS D'ANCIENNES RENAULT,tel: 0615553790
CLUB RETRO JURA BRESSE,39140 Bletterans,06 33 13 19 64,asso.crjb@gmail.com,,http://vehicule-epoque-jura.org,retrocalage,CLUB RÉTRO JURA BRESSE - CRJB,email: asso.crjb@gmail.com
AMICALE ALPINE RENAULT DU CHER,18000 Bourges,,aarc18000@orange.fr,,http://www.aarc.e-monsite.com,retrocalage,AMICALE ALPINE RENAULT DU CHER - AARC,email: aarc18000@orange.fr
LES VIEILLES BIELLES DE WARLAING,59870 Warlaing,03 27 25 03 65,lesvieillesbielles59@orange.fr,,https://www.facebook.com/pg/Les-vieilles-bielles-de-Warlaing-356127937923887,retrocalage,LES VIEILLES BIELLES DE WARLAING,email: lesvieillesbielles59@orange.fr
LES ANCIENNES DU LITTORAL 83,83980 Le,06 16 82 83 86,jmlamic@free.fr,,https://www.facebook.com/les.anciennes.du.litoral.83/,retrocalage,LES ANCIENNES DU LITTORAL 83,tel: 0616828386
ECURIE GEVAUDAN HISTORIQUE,48200 Saint-Chély-d,06 81 27 92 49,ecuriegevaudan@gmail.com,,http://www.ecuriegevaudan.com,retrocalage,ÉCURIE GÉVAUDAN HISTORIQUE,email: ecuriegevaudan@gmail.com
LES PETROLEUSES BEAUJOLAISES,69400 Villefranche-sur-Saône,06 10 19 29 75,jaco80@live.fr,,http://www.petrobeaujolaise.free.fr,retrocalage,LES PÉTROLEUSES BEAUJOLAISES,tel: 0610192975
CLUB DES AMATEURS NON CONFORMISTES DE LA RÉGION ECOLE,77123 Le,06 25 88 79 92,xaviergend77@yahoo.fr,,,retrocalage,CLUB DES AMATEURS NON CONFORMISTES DE LA RÉGION ÉCOLE - CANCRE,email: xaviergend77@yahoo.fr
AMICALE AUTO RÉTRO 33,33460 Cantenac,06 08 05 68 50,william.many@wanadoo.fr,,http://amicale-auto-retro.org,retrocalage,AMICALE AUTO RÉTRO 33,email: william.many@wanadoo.fr
LES VIEILLES SOUPAPES BALDOMÉRIENNES,42330 Chamboeuf,06 72 23 58 36,association.vsb@gmail.com,,,retrocalage,LES VIEILLES SOUPAPES BALDOMÉRIENNES - VSB,email: association.vsb@gmail.com
ÉCURIE VOLANTS ET FOURCHETTES,19410 Vigeois,06 80 47 03 33,jean-paul.brunerie@wanadoo.fr,,,retrocalage,ÉCURIE VOLANTS ET FOURCHETTES,email: jean-paul.brunerie@wanadoo.fr
AMICALE ROCHELAISE DE VÉHICULES ANCIENS,17000 La,,secretariat.arva@gmail.com,,http://www.arva17.fr,retrocalage,AMICALE ROCHELAISE DE VÉHICULES ANCIENS - ARVA,email: secretariat.arva@gmail.com
CLUB DES AMATEURS D'ANCIENNES RENAULT - CAR ISERE,38830 Crêts-en-Belledonne,07 61 06 05 82,car.renault.isere@gmail.com,,https://www.carisere.fr,retrocalage,CAR ISÈRE,email: car.renault.isere@gmail.com
JUVABOUN,28350 Saint-Lubin-des-Joncherets,06 29 94 33 85,contact@juvaboun.com,,https://www.juvaboun.com,retrocalage,JUVABOUN,tel: 0629943385
LA ROUE,69260 Charbonnières-les-Bains,06 18 56 68 35,marc.dupre@facenorh.fr,,,retrocalage,CHARBO CLASSIC,tel: 0618566835
TACOT CLUB DE l'AIN,01000 Bourg-en-Bresse,04 74 21 63 06,tacotclub.ain@wanadoo.fr,,http://tacotclub-ain.fr,retrocalage,TACOT CLUB DE L'AIN,email: tacotclub.ain@wanadoo.fr
CLUB VIRAGES,38200 Vienne,06 18 56 68 35,marc.dupre@facenorh.fr,,http://www.virages38.fr,retrocalage,CHARBO CLASSIC,tel: 0618566835
ASSOCIATION AUDOISE D'AMATEURS D'AUTOMOBILES ANCIENNES,11009 Carcassonne,06 14 41 09 19,arnaud.regis@orange.fr,,https://clubdes5a.blogspot.fr,retrocalage,ASSOCIATION AUDOISE DES AMATEURS D'AUTOMOBILES ANCIENNES - 5A,tel: 0614410919
AUTO MOTO RETRO FIGEAC,46100 Figeac,,mrfigeac@orange.fr,,,retrocalage,AUTO MOTO RÉTRO FIGEAC,email: mrfigeac@orange.fr
CALVADEUCHECLUB & SES P'TITS,14170 Escures-sur-Favières,02 31 20 92 79,calvadeuche@orange.fr,,,retrocalage,CALVADEUCHE CLUB,email: calvadeuche@orange.fr
2 CV CLUB DE LORRAINE,54140 Jarville-la-Malgrange,07 82 94 10 51,contact@2cvclub-lorraine.com,,http://www.2cvclub-lorraine.com,retrocalage,2 CV CLUB DE LORRAINE,email: contact@2cvclub-lorraine.com
SIMCA 67 ET ANCIENNES,67130 Wasselonne,06 72 22 19 76,simca67-etanciennes@orange.fr,,http://SIMCA67etanciennes.jimdo.com,retrocalage,SIMCA 67 ET ANCIENNES,email: simca67-etanciennes@orange.fr
COLLECTIONNEURS DE VEHICULES ANCIENS DE VILLEVOCANCE,07690 Villevocance,06 23 25 55 81,yolande.morel@sfr.fr,,https://www.facebook.com/CVAV.villevocance,retrocalage,LES COLLECTIONNEURS DE VÉHICULES ANCIENS DE VILLEVOCANCE - CVAV,email: yolande.morel@sfr.fr
VIPERPASSION,14280 Authie,07 83 37 08 21,michel.wurtz@viperpassion.com,,https://www.viperpassion.com,retrocalage,VIPERPASSION,tel: 0783370821
SURY AUTO COLLECTION,45530 Sury-aux-Bois,06 72 00 59 69,dominique.viginier@orange.fr,,http://www.sury-auto-collection.org,retrocalage,SURY AUTO COLLECTION,tel: 0672005969
LES VOLANTS D'ANTAN,01000 Bourg-en-Bresse,06 14 31 56 24,j.corr@orange.fr,,,retrocalage,LES VOLANTS D'ANTAN,email: j.corr@orange.fr
PASSION AUTO RETRO 03,03500 Châtel-de-Neuvre,06 09 99 91 41,passion.auto.retro.03@gmail.com,,http://passion-auto-retro-03.fr,retrocalage,PASSION AUTO RETRO 03,email: passion.auto.retro.03@gmail.com
"VOLANTS D'AVANT, CHEVEUX AU VENT",21450 Billy-lès-Chanceaux,06 82 50 37 74,contact@vacv.fr,,http://www.vacv.fr,retrocalage,VOLANTS D'AVANT CHEVEUX AU VENT VACV,email: contact@vacv.fr
RÉTROMOBILE CLUB DE SAINT PATHUS,77178 Saint-Pathus,07 44 75 23 73,club@rmcsp.fr,,https://www.rmcsp.fr,retrocalage,RÉTROMOBILE CLUB DE SAINT-PATHUS,email: club@rmcsp.fr
ALFA CLUB DU NORD,02300 Chauny,07 50 97 14 31,alfa.club@yahoo.fr,,https://www.facebook.com/AlfaClubDuNord,retrocalage,ALFA CLUB DU NORD,email: alfa.club@yahoo.fr
LES VIEILLES BIELLES DE L'AUBRAC,12500 Espalion,06 80 07 92 06,lesvieillesbiellesdelaubrac@orange.fr,,http://clubvba.over-blog.com,retrocalage,LES VIEILLES BIELLES DE L'AUBRAC,email: lesvieillesbiellesdelaubrac@orange.fr
CLUB AUTO RETRO TRACTEUR,51290 Margerie-Hancourt,06 07 44 34 75,c.autoretrotracteur@gmail.com,,http://club-auto-retro-tracteur.over-blog.com/,retrocalage,CLUB AUTO RÉTRO TRACTEUR - C.A.R.T.,email: c.autoretrotracteur@gmail.com
PASSION ALPINE RENAULT ALSACE,67110 Reichshoffen,06 13 27 55 08,passionalpinerenaultalsace@gmail.com,,http://www.passionalpinerenaultalsace.fr,retrocalage,PASSION ALPINE RENAULT ALSACE,email: passionalpinerenaultalsace@gmail.com
AMICALE TRACTION CAUCHOISE,76170 La,06 60 34 81 72,amicale.traction.cauchoise@gmail.com,,http://www.amicale-traction-cauchoise.fr,retrocalage,AMICALE TRACTION CAUCHOISE,email: amicale.traction.cauchoise@gmail.com
YOUNG GENTLEMAN DRIVER,63400 Chamalières,06 29 72 53 48,younggentlemandriver@gmail.com,,http://younggentlemandriver.wixsite.com/younggentlemandriver,retrocalage,YOUNG GENTLEMAN DRIVER,email: younggentlemandriver@gmail.com
2 CV SOUS LES POMMIERS,14130 Pont-l,06 70 04 20 11,2cvsouslespommiers@wanadoo.fr,,http://2cvsouslespommiers.over-blog.com,retrocalage,2 CV SOUS LES POMMIERS,email: 2cvsouslespommiers@wanadoo.fr
CLUB VENTURI,39100 Dole,,contact@clubventuri.fr,,http://www.clubventuri.fr,retrocalage,CLUB VENTURI,email: contact@clubventuri.fr
LES PETROLEUSES DE L'HESDINOIS,62140 Hesdin,06 26 84 76 30,petroleuseshesdinois@orange.fr,,,retrocalage,LES PÉTROLEUSES HESDINOISES,email: petroleuseshesdinois@orange.fr
TOURS ENGLISH CARS,37390 La,06 07 06 12 79,tours.english.cars.37@gmail.com,,,retrocalage,TOURS ENGLISH CARS - TEC,email: tours.english.cars.37@gmail.com
VIKING CLUB 2CV,14400 Etreham,02 50 27 90 84,didier.hartel@laposte.net,,http://vikingclub2cv.e-monsite.com,retrocalage,VIKING CLUB 2 CV,email: didier.hartel@laposte.net
LA POUËT-POUËT SURYQUOISE,42450 Sury-le-Comtal,06 66 71 10 20,pouetpouetsuryquoise@gmail.com,,http://pouetpouet2.pockost.com,retrocalage,LA POUËT-POUËT SURYQUOISE,email: pouetpouetsuryquoise@gmail.com
V8FOREVER,69380 Belmont-d,06 26 43 10 99,club.V8forever@orange.fr,,http://www.v8forever.com,retrocalage,CLUB V8 FOREVER,tel: 0626431099
CLUB DES VIEUX VOLANTS FRANC COMTOIS,25600 Sochaux,06 64 90 32 21,jeanluctissot90@gmail.com,,https://www.facebook.com/groups/193468185098083,retrocalage,CLUB DES VIEUX VOLANTS FRANC-COMTOIS,email: jeanluctissot90@gmail.com
AUTO RÉTRO PÉRIGORD EST,24120 Pazayac,09 50 10 81 09,bouillon.jo@free.fr,,http://autoretropazayac.canalblog.com,retrocalage,AUTO RÉTRO PÉRIGORD EST - ARPE,email: bouillon.jo@free.fr
AUTO RÉTRO TERRES DE SAÔNE,70170 Port-sur-Saône,06 86 96 18 88,autoretro.tds70@outlook.fr,,http://www.autoretro-tds70.fr,retrocalage,AUTO RÉTRO TERRES DE SAÔNE,email: autoretro.tds70@outlook.fr
AMATEURS DAUPHINOIS D'AUTOMOBILES DE COLLECTION,38300 Ruy-Montceau,06 88 74 84 74,contact@adacnordisere.fr,,https://www.adacbourgoinjallieu.com,retrocalage,AMATEURS DAUPHINOIS D'AUTOMOBILES DE COLLECTION - ADAC,email: contact@adacnordisere.fr
LES VIEILLES ROUES CÉVENOLES,48000 Mende,04 66 49 03 92,jardins.loisirs@wanadoo.fr,,http://www.lesvieillesrouescevenoles.fr,retrocalage,LES VIEILLES ROUES CÉVENOLES,email: jardins.loisirs@wanadoo.fr
CLUB RENAULT 21 PASSION,77540 Lumigny,,club-renault21passion@outlook.fr,,http://www.club-renault21passion.fr,retrocalage,CLUB RENAULT 21 PASSION,email: club-renault21passion@outlook.fr
LES VIEUX PISTONS LANGEADOIS,43300 Langeac,06 23 52 04 22,lesvieuxpistonslangeadois@yahoo.fr,,,retrocalage,LES BELLES D'ANTAN DU GEVAUDAN,tel: 0623520422
TACOT CLUB BRESSUIRAIS,79300 Bressuire,,tacot-club@sfr.fr,,http://www.tacot-club.fr,retrocalage,TACOT CLUB BRESSUIRAIS,email: tacot-club@sfr.fr
CACTUS ORGANISATION,83330 Le,04 94 29 56 54,contact@cactus-organisation.com,,http://www.cactus-organisation.com,retrocalage,CACTUS ORGANISATION,email: contact@cactus-organisation.com
DEUDEUCH'CLUB DE CAEN,14540 Garcelles-Secqueville,06 51 80 61 43,deudeuchclub.caen@laposte.net,,http://2cvcaen.fr,retrocalage,DEUDEUCH CLUB DE CAEN,email: deudeuchclub.caen@laposte.net
AMICALE CABRIOLETS ANCIENS ET MODERNES,69960 Corbas,,acam.france@gmail.com,,,retrocalage,AMICALE CABRIOLETS ANCIENS ET MODERNES FRANCE - ACAM,email: acam.france@gmail.com
NIMES AUTO RÉTRO,30800 Saint-Gilles,06 08 07 85 91,president@nimesautoretro.org,,http://www.nimesautoretro.org,retrocalage,NÎMES AUTO RÉTRO,email: president@nimesautoretro.org
AUTOMOBILES ANCIENNES DE L'INDRE,36000 Chateauroux,,clubaai36@hotmail.com,,https://www.clubaai.fr,retrocalage,CLUB DES AUTOMOBILES ANCIENNES DE L'INDRE - AAI,email: clubaai36@hotmail.com
ALPINE & RENAULT SPORT DU HAUT MÂCONNAIS,71260 Azé,03 85 33 30 74,contact@arshm.fr,,http://www.arshm.fr,retrocalage,ALPINE ET RENAULT SPORT DU HAUT MCONNAIS,email: contact@arshm.fr
OCTANE 99,39000 Lons-Le-Saunier,03 84 44 21 50,octane99@wanadoo.fr,,http://www.octane-99.com,retrocalage,OCTANE 99,email: octane99@wanadoo.fr
DS CLUB REVOLUTION 55,77570 Villeparisis,06 01 81 38 48,contact@dsclubrevolution55.fr,,http://www.dsclubrevolution55.fr,retrocalage,DS CLUB RÉVOLUTION 55,email: contact@dsclubrevolution55.fr
CONSERVATION VEHICULE MILITAIRE COLLECTION CANTAL,15000 Aurillac,04 71 48 21 65,cpicard15@hotmail.fr,,,retrocalage,CONSERVATION VÉHICULES MILITAIRES COLLECTION CANTAL,email: cpicard15@hotmail.fr
2CV CLUB PONTOIS,17800 Mazerolles,06 70 31 06 94,2cv.clubpontois@gmail.com,,,retrocalage,2 CV et + Club Pontois,email: 2cv.clubpontois@gmail.com
DOUBLE DEBRAYAGE PICTAVE,86280 Saint-Benoît,06 71 37 47 64,club.ddp86@gmail.com,,http://www.ddp86.fr,retrocalage,DOUBLE DÉBRAYAGE PICTAVE,email: club.ddp86@gmail.com
FRANCHE-COMTÉ 7-11-15,25410 Dannemarie-sur-Crète,,franchecomte.7-11-15@orange.fr,,http://www.club-traction-citroen.com,retrocalage,FRANCHE-COMTÉ 7-11-15,email: franchecomte.7-11-15@orange.fr
LA TRACTION DE HAUTE AUVERGNE,15000 Aurillac,06 81 28 42 39,cpicard15@hotmail.fr,,,retrocalage,CONSERVATION VÉHICULES MILITAIRES COLLECTION CANTAL,email: cpicard15@hotmail.fr
DIE VÉHICULES ANCIENS,26340 Saint-Benoit-en-Diois,06 09 31 89 76,dievehiculesanciens@gmail.com,,,retrocalage,DIE VÉHICULES ANCIENS,email: dievehiculesanciens@gmail.com
