nom,adresse,telephone,email,representant,site,source
CERCLE NORMAND DE LA TRACTION AVANT CITROËN - CNTAC,76600 Le Havre - France,02 35 49 25 77,jptalidec@free.fr,Pdt : Jean-Louis Leloarer ; Trés. : Jean-Pierre Talidec ; Secrét. : P. Fouache et Nicole Fouache,,lva-auto
CERCLE PANHARD DU HAUT DE FRANCE,59680 Ferrière-la-Grande - France,03 27 62 90 58,jean-paul.boucly@orange.fr,Pdt : Jean-Paul Boucly ; Trés. : Jean-Claude Duplouy ; Secrét. : Jean-Paul Asset,http://www.cercle-panhard.fr,lva-auto
CERCLE RÉTROMOBILE DU LAURAGAIS - CRL,11420 Molandier - France,,,Pdt : R. Farneda ; Vice-Pdt : Corinne Cilia La Corte ; Trés. : Rachel Lippens ; Secrét : Josette Alvaro,,lva-auto
CERCLE T,31840 Seilh - France,05 61 59 90 82,cercle.t@orange.fr,Pdt : Jean-Louis Bardou ; Trés. : Pascal Boussemart ; Secrét. : Jean-Jacques Depeyre,http://cerclet.asso.fr,lva-auto
CÉVENNES CLUB ALPINE GORDINI,30560 Saint-Hilaire-de-Brethmas - France,,jacky.mialhe@orange.fr,Pdt : Jacky Mialhe ; Trés. : Christian Polge ; Secrét. : Dider Jardon,http://cevennes-club-alpine-gordini.com/,lva-auto
CH'TI DEUCH CLUB,59890 Deûlémont - France,06 71 27 77 97,costemend.olivier@orange.fr,Pdt : Olivier Costemend,,lva-auto
CHARBO CLASSIC,38260 La Côte-Saint-André - France,06 18 56 68 35,charbo-classic-fr@asso-web.com,Pdt : Marc Dupré ; Trés. : Bruno Martineau ; Secrét. : Jean-Michel Savary,http://www.charbo-classic.fr,lva-auto
CHTEAUNEUF AUTO RÉTRO,13220 Châteauneuf-les-Martigues - France,06 84 61 72 11,agrangier@sfr.fr,Pdt : Alain Grangier ; Trés. : Jean-Luc Bremond ; Secrét. : Jean-Marc Garcia,,lva-auto
CHTEL RETROMOBILE,63140 Châtel-Guyon - France,06 07 64 45 32,chatelretromobile@gmail.com,Pdt : ; Trés. : ; Secrét. :,http://www.chatel-retromobile.fr,lva-auto
CHEVROLET CORVAIR CLUB,91410 Les Granges-le-Roi - France,01 64 59 96 99,paul.dupuis-philiponnet@neuf.fr,Pdt : Paul Dupuis-Philipponnet ; Vice-Pdt : Cyrille Dupuis-Philipponnet ; Trés. : Thierry Marie ; Webmaster : Thierry Laforêt,http://www.corvairfrance.free.fr,lva-auto
CHEVRONS ET VIEUX CHROMES EN BOURBONNAIS - CVCB,03110 Saint-Rémy-en-Rollat - France,06 07 79 34 97,asiebert@free.fr,Pdt : Marcel Siebert ; Trés. : Michel Pezon ; Secrét. : Annie Siebert,http://www.cvcb03.fr,lva-auto
CHEVRONS SANS FRONTIÈRES,57570 Cattenom - France,03 82 55 45 34,chevronssansfrontieres@orange.fr,Pdt : Victor Isabelinho,,lva-auto
CHROME ET CALANDRES,80300 Albert - France,,chromeetcalandres@gmail.com,Pdt : Jean-Marc Cuvillier ; Trés. : Franck Parmentier ; Secrét. : Ellen Cuvillier,,lva-auto
CHRONO SPORT BUGEY,01500 Ambérieu-en-Bugey - France,06 58 41 03 12,philippe.raymond69680@gmail.com,Pdt : Philippe Raymond ; Trés. : Florian Raymond ; Secrét. : Jocelyne Raymond,,lva-auto
CHRYSLER FRANCE CLUB,38140 Apprieu - France,06 19 29 88 54,,Pdt : Gérard Vignon,http://club-simca-chrysler.e-monsite.com,lva-auto
CIRCUIT HISTORIQUE DE LAON ET DE L'AISNE EN HAUTS-DE-FRANCE,02000 Laon - France,03 23 79 83 58,circuit-historique-laon@orange.fr,Pdt : Jean-Louis Chêne ; Vice-Pdt : Philippe Venet ; Trés. : Yves Scudeller ; Secrét. : Danièle Jurion,http://www.circuit-historique-laon.com,lva-auto
CIRCUITS ROUTIERS,47600 Nérac - France,01 47 78 73 47,cr.espinasse@wanadoo.fr,,http://www.circuits-routiers.asso.fr,lva-auto
CITRO-ËN-CAUX,76210 Beuzeville-la-Grenier - France,06 60 88 71 63,citroencaux@gmail.com,Pdt : Gilles Maillard ; Vice-Pdt : Romain Fleuret ; Secrét. : Mickaël Touchard ; Trés. : Marie-Pierre Devresse,,lva-auto
CITROËN BX CLUB EUROPE,57700 Hayange - France,06 62 57 21 56,cbxc@free.fr,Pdt : Ãric Béjot ; Trés. : Gilles Opstal,http://www.bxclub.online.fr,lva-auto
CITROËN CLUB DES GONES,69890 La Tour-de-Salvagny - France,04 26 65 32 45,,contact : Michel Grilliet,,lva-auto
CITROËN CLUB DU LIEUVIN,27560 Lieurey - France,02 32 42 37 55,jean-claude.testu0286@orange.fr,Pdt : Jean-Claude Testu ; Trés. : Danielle Testu ; Secrét. : Michèle Queval,,lva-auto
CITROËN CLUB DU PERCHE,61340 Saint-Pierre-la-Bruyère - France,06 89 80 28 31,citroenclubduperche@free.fr,Pdt : Didier Blin ; Trés. : Didier Degoul ; Secrét. : Francis Moulin,http://citroenclubduperche.free.fr,lva-auto
CITROËN DYANE CLUB DE FRANCE,12000 Rodez - France,06 08 11 26 70,contact@dyaneclub.fr,Pdt : Philippe Marion ; Vice-Pdt : Jean-Claude Percheron ; Trés. : Philippe Grandet ; Secrét. : Soizic Chairon,http://dyaneclub.fr,lva-auto
CITROËN MANIA CLUB,59360 Saint-Benin - France,06 81 87 13 10,freddy.tournay@wanadoo.fr,Pdt : Freddy Tournay ; Secrét. et Trés. : Alain Mariage,,lva-auto
CITROËN MASERATI CLUB AUTOMOBILE,44240 La Chapelle-sur-Erdre - France,06 60 51 04 04,fxrambaud44@gmail.com,Pdt : François-Xavier Rambaud ; Secrét. : Jo Godin,http://www.clubcitroenmaseratidenantes.fr/,lva-auto
CITROMINI,72100 Le Mans - France,,secretariat@citromini.fr,Pdt : Alain Bardo-Dumercy ; Trés. : Yves Gaveau ; Secrét. : Sébastien Provost,http://www.citromini.fr,lva-auto
CITROSCOPE,59184 Sainghin-en-Weppes - France,06 81 39 84 12,emilegossart@free.fr,Pdt : Emile Gossart ; Vice-Pdt : Freddy Tournay ; Trés. : Charlie Lepot ; Secrét. : Bernard Poulain,,lva-auto
CLASSIC AUTO PYRÉNÉES,65000 Tarbes - France,06 86 85 10 85,classicautopyrenees@gmail.com,Co-Pdtes : Colette Aguirre et Cathy Florins ; Trés. : Marcel Bearn ; Secrét. : Sabine Clarens ; Secrét. adj. : Ãric Siosse ; Relations publiques : Jean-Louis Fourcade,https://www.classicautopyrenees.fr,lva-auto
CLASSIC CAR CLUB OF MORBIHAN,56250 Sulniac - France,06 31 34 39 75,classiccarclubmorbihan@gmail.com,Pdt : Robert Briddon ; Secrét. : Norman Clark,,lva-auto
CLASSIC CAR DE LA CÔTE D'AMOUR,44500 La Baule - France,02 40 24 04 04,jean.thobie@orange.fr,Pdt : Jean Thobie ; Trés. : Jean-Luc Mahé ; Secrét. : Brigitte Hamon,,lva-auto
CLASSIC ET RACING 901 ATLANTIQUE,44360 Le Temple-de-Bretagne - France,02 40 57 06 23,racing901atl.44@gmail.com,Pdt : Michel Brzezinski ; Vice-Pdt : Gildas Dupuis ; Trés. : Yannick Piljean ; Secrét. : M. Dupuis,http://www.racing901atlantique.fr,lva-auto
CLASSIC RALLY,67000 Strasbourg - France,07 86 33 39 15,info@classicrally.fr,,http://www.classicrally.fr,lva-auto
CLASSIC SUNBEAM ET ROOTES DE FRANCE,84820 Visan - France,07 68 81 66 27,classicsunbeamrf@gmail.com,Pdt : Jean-Louis Fournier ; Vice-Pdt : Jean-Luc Lollierou ; Secrét. : Patrick Mareau ; Trés. : Alain Dubuis ; Webmaster : Andrew Webb,http://classic-sunbeam--rootes-de-france-66.webselfsite.net/,lva-auto
CLASSIC VW CATALAN,66000 Perpignan - France,04 68 54 70 92,classicvwcatalan@free.fr,Pdt : Thierry Felices ; Trés. : Marie-Laure Hébrard ; Secrét. : Olivier Manet,http://classic-vw-catalan.fr,lva-auto
CLUB 01,57420 Cheminot - France,03 29 80 69 07,leclub01@gmail.com,Pdt : Jean-Marc Faivre ; Vice-Pdt : Michel Thiry ; Trés. : Jean-Claude Lapeyre ; Secrét. : Francine Thiry ; Secrét. adj. : Michel Verdier,http://www.club01.eu,lva-auto
CLUB 104 PEUGEOT,64260 Lys - France,06 83 55 22 58,club104peugeot@gmail.com,Pdt : Laurent Jungas ; Vice-Pdt : Dominique Anile ; Trés : Philippe Moreau ; Secrét. : Jean-François Boutary ; Resp. pièces détachées : Francis Gerveaux ; Webmaster : Léo Bottin,,lva-auto
CLUB 2 CV PROVENCE,13008 Marseille - France,06 27 07 77 01,club2cvprovence@gmail.com,Pdte : Marie-Christine Bicais ; Secrét. : Véronique Roussel,,lva-auto
CLUB 205 TURBO 16,88530 La Forge - France,06 85 20 05 53,info@club205turbo16.com,Pdt : Christophe,http://www.club205turbo16.com,lva-auto
CLUB 24.34,06300 Nice - France,04 93 26 26 62,,A. Binda,,lva-auto
CLUB 403,32450 Faget-Abbatial - France,06 80 96 62 96,contact@club403.org,Pdt : Gaël Chance ; Secrét. : Antoine Poliet,http://www.club403.org,lva-auto
CLUB 604 INTERNATIONAL,71570 Romanèche-Thorins - France,03 45 30 45 17,studer.georges@orange.fr,Pdt : Georges Studer ; Vice-Pdt : Laurent Bougard ; Très. : Arnaud Blandin ; Secrét. : Fabrice Vandebrouck ; Secrét. adj. : Marc Bernardin ; Coordinateur Pièces : Jean-Claude Debaulieu ; Resp. Publication : Georges Studer ; Resp. Boutique : FranÃ,http://www.club604peugeot.fr,lva-auto
CLUB 71 DES VOITURES ANCIENNES,71100 Chalon-sur-Saône - France,06 08 87 83 43,richard.eric2@wanadoo.fr,Pdt : Ãric Richard ; Trés. : Jeanine Mars,http://www.club71va.fr,lva-auto
CLUB 911 TYPE G,60126 Rivecourt - France,06 16 26 46 44,club@type911.org,Pdt : Arnaud Maillard ; Trés. : Pascaline Boulai ; Secrét. : Hervé Gallet,http://www.type911.org,lva-auto
CLUB 93-64,92100 Boulogne-Billancourt - France,06 09 65 03 88,info@club93-64.fr,Pdt : Hervé Daudé,http://club93-64.fr,lva-auto
CLUB A310 PASSION,69500 Bron - France,06 09 41 92 16,a310passion69@gmail.com,Pdt : Patrick Monfray ; Trés. : Patrice Giraud ; Secrét. : Philippe Canelle,http://www.a310-passion.fr,lva-auto
CLUB ABARTH FRANCE,21420 Savigny-lès-Beaune - France,03 80 21 55 03,contact@chateau-savigny.com,Pdt : Christophe Pont,http://www.chateau-savigny.com,lva-auto
CLUB ABC,54800 Jarny - France,03 82 22 93 08,,Pdt : Gilbert Destafanis ; Trés. : Dominique Drabinsky ; Secrét. : Nathalie Brion,,lva-auto
CLUB GE D'OR VÉHICULES ANCIENS DE PAU,64000 Pau - France,06 89 13 86 24,secretaire@caova64.fr,Pdt : Didier Claverie ; Trés. : Jean Bourdeu d'Aguerre ; Secrét. : Sylvie Grall,http://www.caova64.fr,lva-auto
CLUB ALFA FRANCE SUD PASSION,46800 Barguelonne-en-Quercy - France,06 79 81 01 53,clubafsp@yahoo.com,Pdt : Frédéric Lauzes ; Secrét. : Sébastien Verzeni,http://www.alfafrancesudpassion.com,lva-auto
CLUB ALFA ROMEO CŒUR DE TRÈFLE - CARCT,67700 Ottersthal - France,07 68 11 03 30,contact@carct.club,Pdt : Fabrice Conin ; Trés. : Fernando Paiva ; Secrét. : Gwendoline Christ,http://www.carct.club,lva-auto
CLUB ALFA ROMEO DE FRANCE,78580 Maule - France,,clubalfaromeodefrance@gmail.com,Pdt : Thierry Fuchs ; Vice-Pdt : Yvon Durieux ; Trés. : Arnaud de Narbonne ; Secrét. : Christophe Damerval ; Boutique: Jean Richard,http://www.clubalfafrance.com,lva-auto
CLUB ALPINE CÔTE D'AZUR,06650 Le Rouret - France,06 62 81 88 92,alpinecotedazur@gmail.com,Pdt : Gilbert Chastel ; Vice-Pdt : Mathieu Petitgirard ; Trés. : Valérie Abba ; Secrét. : Jacques Andréis ; Rédacteur : Jean-Pierre Aubert,http://www.alpinecotedazur.com,lva-auto
CLUB ALPINE DIEPPE,76200 Dieppe - France,06 25 04 76 51,clubalpinedieppe@hotmail.com,Pdt : Didier Lemeunier ; 1er Vice-Pdt et Trés. : Pascal Petit ; 2e Vice-Pdt et Resp. actions caritatives : Gérard Hauchecorne ; Secrét. : Thierry Méricourt ; Secrét. adj. : Michèle Verneul ; Trés. adj. : Bernard Sauval,http://www.cadieppealpines.jimdo.com,lva-auto
CLUB ALPINE RENAULT SAINTE BAUME,83470 Saint-Maximin-la-Sainte-Baume - France,04 94 59 31 31,,,,lva-auto
CLUB ALPINE RENAULT SPORT-AUVERGNE,63510 Malintrat - France,06 13 49 54 12,alpine.rsa110@gmail.com,Pdt : Dominique Weber ; Trés. : Fabienne Bardy ; Secrét. : Carine Ponce ; Secrét. adj. : Jean Perrazi,http://alpine63.forumactif.com,lva-auto
CLUB AMATEURS MÉCANIQUES ANCIENNES ET SPORTIVES - CAMAS,38770 La Motte-d'Aveillans - France,06 87 83 13 74,club.camas@orange.fr,Pdt : Paolo Fontebasso,,lva-auto
CLUB AMICAL DES ANCIENNES AUTOMOBILES AUDOMAROISES - C4A,62219 Longuenesse - France,06 21 19 53 59,secretariat.club.c4a@gmail.com,Pdt : Didier Boulet ; Vice-Pdt : Fabrice Delaviez ; Trés. : Micheline Doquoy ; Secrét. : Catherine Yansse,,lva-auto
CLUB AMICALE LABOURIER,25640 Marchaux - France,06 80 10 63 70,scivre-et-cambouis@orange.fr,Pdt : Christian Arnaud ; Trés. : Michel Imbert ; Secrét. : Dominique Delaporte,,lva-auto
CLUB ANCIENNES AUTOMOBILES CLUB DU LOIRET - CAACL,45000 Orléans - France,06 33 70 46 43,jeanpaulimbault@orange.fr,Pdt : Jean-François Pornin ; Vice-Pdt et Trés. : Jean-Paul Imbault ; Secrét. et webmestre : Daniel Bergeron,http://www.anciennes-automobile-club-loiret.com,lva-auto
CLUB ANGEVIN DE VÉHICULES D'ÉPOQUE,49000 Angers - France,06 85 72 71 53,c.a.v.e@wanadoo.fr,Pdt : Dominique Lemoine,http://clubangevindevehiculesdepoque.e-monsite.com/,lva-auto
CLUB ARMORICAIN DE VÉHICULES ANGLAIS ET DE PRESTIGE - CAVAP,22680 Étables-sur-Mer - France,02 96 70 74 11,ydeparthenay@wanadoo.fr,Pdt : Yvon de Parthenay ; Trés. : Henri Bullier ; Secrét. : Marcel Leduc,http://www.club-cavap.com,lva-auto
CLUB ARMORICAIN DES VÉHICULES ANCIENS ET DE COLLECTION - CAVAC,56140 Malestroit - France,02 97 72 29 48,patricebinard@sfr.fr,,,lva-auto
CLUB ASAVA,02400 Étrépilly - France,03 23 69 40 79,club-asava@orange.fr,Pdt : P. Lemistre ; Trés. : Christian Alavoine ; Secrét. : J.-L. Estier,,lva-auto
CLUB ATALANTE,92400 Courbevoie - France,06 08 26 95 55,adebeaucaron@gmail.com,Pdt et Secrét. : Arnaud de Beaucaron,,lva-auto
CLUB AUSTIN-HEALEY CŒUR DE FRANCE,41000 Blois - France,,healey.coeurdefrance@gmail.com,Pdt : Louis Lavillat,http://www.Austin-HealeyCoeurdeFrance.com,lva-auto
CLUB AUTO LEGEND,31240 L'Union - France,06 62 27 65 14,jeseguin@orange.fr,Pdt : Jean-Claude Seguin ; Vice-Pdt : Dominique Ooghe ; Trés. : Roselyne Seguin ; Secrét. : Gilbert Biasoli ; Secrét. adj. : Gilbert Antic,,lva-auto
CLUB AUTO LÉGEND AVANT-GUERRE,92350 Le Plessis-Robinson - France,01 46 30 37 03,contact@clubautolegend.fr,Pdt : Xavier Lebeuf ; Trés. : Patrice Louette ; Secrét. : Alain Raynaud,,lva-auto
CLUB AUTO MINIATURE,27540 Ivry-la-Bataille - France,06 75 06 12 82,cam.ivry@free.fr,Contact : Hadj Kacem Chedly,,lva-auto
CLUB AUTO MOTO RÉTRO CHARTRES - CAMRC,28019 Chartres Cedex - France,06 81 14 74 25,camrc28@gmail.com,Pdt : Jean-Pierre Porte ; Vice-Pdt : Luigi Carluccio ; Trés. : Marie-Alice Porte ; Secrét. : Françoise Guy,http://www.camrc28.com,lva-auto
CLUB AUTO NOSTALGIE 26,26210 Lapeyrouse-Mornay - France,06 03 32 00 61,,Pdt : Jean-Marie Chauchot ; Trés. : Jocelyne Denis ; Secrét. : Gilles Sarrazin,http://www.club-autonostalgie26.fr,lva-auto
CLUB AUTO RÉTRO 36,36140 Aigurande - France,06 07 41 10 00,alain-jardat@orange.fr,"Pdt : Jean-Marie Guillebaud ; Vice-Pdt : Alexandre Prevost ; Trés. : Michel Jouanneau ; Secrét. : Michelle Prevost ; Membres : Gérard Toury, Jacques Lathuile",,lva-auto
CLUB AUTO RÉTRO DE L'ALBANAIS,74150 Rumilly - France,06 95 48 89 76,auto.retro.albanais@gmail.com,Pdt : Claude Hérisson ; Vice-Pdt : Daniel Grand ; Trés. : Christian Mugnier ; Secrét. : Françoise-Marie Buffet,http://autoretroalbanais.jimdo.com,lva-auto
CLUB AUTO RÉTRO GAZO,67170 Bernolsheim - France,06 07 59 67 83,jeanlouismarty@orange.fr,,,lva-auto
CLUB AUTO RÉTRO MIDI-PYRÉNÉES - CARMP,31770 Colomiers - France,06 03 31 05 16,carmp@wanadoo.fr,Pdt : Bruno Ros ; Vice-Pdt : Gérard Estienny ; Trés. : Luc Estienny ; Trés. adj. : Yannick Clavier ; Secrét. : Jean-Luc Savy ; Secrét. adj. : Michel Le Lait,http://www.carmp.fr,lva-auto
CLUB AUTO RÉTRO PASSION,60440 Nanteuil-le-Haudouin - France,07 82 23 89 42,carpvergnal@laposte.net,Pdt : Michel Vergnol,http://clubautoretropassion.fr,lva-auto
CLUB AUTO RÉTRO TRACTEUR - C.A.R.T.,51290 Margerie-Hancourt - France,06 07 44 34 75,c.autoretrotracteur@gmail.com,Pdt : Maurice Brassart ; Trés. : Gilles Chaty ; Secrét. : Didier Gerardin,,lva-auto
CLUB AUTO RÉTRO VOSGIEN,88140 Contrexéville - France,06 09 05 45 99,carv@clubautoretrovosgien.com,Pdt : Claude Guillot ; Vice-Pdt : Patrick Poirier ; Trés. : Bernard Chal ; Secrét. : Janine Spreder,http://www.clubautoretrovosgien.com,lva-auto
CLUB AUTO SPORT GT,31100 Toulouse - France,06 33 36 68 61,thierryrouzaud@gmail.com,Pdt : Thierry Rouzaud,http://www.casgt.com,lva-auto
CLUB AUTOMANIA 57,57320 Bouzonville - France,06 95 73 32 52,clubautomania57@gmail.com,Pdts : R. Champlon et M. Schwartz ; Trés. : M. Welter ; Secrét. : M. Millot,http://www.automania57.com,lva-auto
CLUB AUTOMOBILE MARTIN,86320 Gouex - France,06 08 24 69 16,jmophone@yahoo.fr,Pdt : Luc Seys ; Vice-Pdt : Jean-Christophe Nieutin ; Trés. : Cécile Sébastien ; Secrét. : Jean-Marie Ollivier,http://www.clubautomobilemartin.fr,lva-auto
CLUB AUTOMOBILE VILLENAVAIS,33140 Villenave-d'Ornon - France,06 61 31 63 43,dodier.denis@yahoo.fr,Trés. : Marie-Noëlle Baud ; Secrét. : Jean Félix Urrecho,,lva-auto
CLUB AUTOMOBILISTE BERLIET - CAB,69003 Lyon - France,04 78 54 15 34,contact@fondationberliet.org,Pdt : Philippe Lambert ; Trés. : Jean-Pierre Brassler ; Secrét. : Pascal Badol,http://www.fondationberliet.org,lva-auto
CLUB AUTOS D'ÉPOQUE DE LA VÉSUBIE - AEV,06450 Saint-Martin-Vésubie - France,06 72 71 03 11,jp.dirosa06@gmail.com,,,lva-auto
CLUB AUTOS ET MOTOS D'ÉPOQUE - CAME,91820 Boutigny-sur-Essonne - France,06 79 09 36 97,lecameboutigny91@gmail.com,,http://ww.lecame91.wixsite.com/came,lva-auto
CLUB AUTOS-MOTOS ANCIENNES DE FEYTIAT - CAMAF,87220 Feytiat - France,06 20 57 15 85,secretaire.camaf@yahoo.fr,Pdt : Alain Bouillon ; Vice-Pdt : Daniel Nouhaud ; Trés. : Michel Deyrieux ; Secrét. : Didier Astruc,http://www.camaf.fr,lva-auto
CLUB AUTUN RÉTRO,71400 Autun - France,,clubautunretro@gmail.com,Pdte : Claude Choubard ; Vice-Pdt et relations publiques : Jean-Pierre Burland ; Trés. et Webmaster : Michel Martin ; Secrét. : Pascal Degrandcourt ; Secrét. adj. : Gérard Sert,http://www.club.autun.retro.over-blog.com,lva-auto
CLUB BASQUE DES VÉHICULES ANCIENS - CBVA,64270 Bergouey-Viellenave - France,06 19 85 60 17,eric-marcus@hotmail.fr,Pdt : Ãric Marcus ; Vice-Pdts : Régis de Merlis et Claude Leguay ; Trés. : Philippe Jeauffre ; Trés. adj. : Martine Daragnes ; Secrét. : Jean-Philippe Lahure ; Secrét. adj. : Claude Pierre et Gérard Daragnes,http://www.cbva.fr,lva-auto
CLUB BMW SERIE 3 E21/E30 FRANCE,31520 Ramonville-Saint-Agne - France,06 78 11 95 97,contact@bmw-e21e30.fr,Pdt : Emmanuel Pavie,http://www.bmw-e21e30.fr,lva-auto
CLUB BUGATTI FRANCE,16120 Châteauneuf-sur-Charente - France,,contact@clubbugatti.fr,Pdt : Sébastien Benoit-Latour ; Vice-Pdt : Baptiste Nicolosi ; Trés. : Valérie Gianti ; Secrét. : Christophe Vignaud,http://www.club-bugatti-france.fr,lva-auto
CLUB C.A.R.O.,60890 Varinfroy - France,03 44 87 49 00,thierry.macaisne@orange.fr,Pdt : Xavier Denis ; Trés. : Pauline Cunin ; Secrét. : Carole Macaisne,,lva-auto
CLUB CAPRI PASSION,60250 Foulangues - France,06 11 83 22 70,contact@ford-capri.eu,Pdt : Nicolas Lefortier,http://www.ford-capri.net,lva-auto
CLUB CELICA FRANCE,34420 Portiragnes - France,06 22 27 65 00,celica.clubfct@gmail.com,Pdt : Jean-Louis Pipelier ; Trés. : Gilles Félix ; Secrét. : Jean Delattre,http://www.club-celica-france.fr,lva-auto
CLUB CHOLETAIS DES AMIS DE L'AUTO,49300 Cholet - France,02 41 62 44 10,g.gaschet@orange.fr,Pdt : Claude Delannoy ; Trés. : Gérard Gaschet ; Secrét. : Yvonne Beau,,lva-auto
CLUB CHROMES ET COUSSINETS,42520 Saint-Pierre-de-Boeuf - France,06 15 12 80 79,dado.blanc@orange.fr,Pdt : Daniel Blanc,,lva-auto
CLUB CITROËN DE LA BAIE DU MONT-SAINT-MICHEL,50600 Saint-Hilaire-du-Harcouët - France,06 89 45 45 66,ccitroenstmichel@aol.com,Pdts : Christian Quentin et Alain Servain ; Trés. : Sylviane Vauloup ; Trés. adj. : Nadyne Cabos ; Secrét. : Olivier Bienfait ; Secrét. adj. : Patricia Hudson ; Conseiller tech. : Jean-Claude Margerie,http://clubcitroendelabaie.jimdo.com/,lva-auto
CLUB CITROËN FRANCE,78960 Voisins-le-Bretonneux - France,,contact@club-citroen-france.club,Pdt et Secrét. : Alain Lassalle ; Vice-Pdt : Daniel Pariguet,http://www.club-citroen-france.club,lva-auto
CLUB CORSICA AUTO PASSION,20167 Ajaccio - France,06 72 93 73 06,corsicaautopassion@gmail.com,Pdt : Hervé Putzoli ; Secrét. : Christine Féférici,,lva-auto
CLUB CORVETTE C3,34070 Montpellier - France,,info@cc3.fr,Pdt : Jess,http://www.cc3.fr,lva-auto
CLUB COUPÉ FIAT FRANCE,71530 Fragnes - France,,clubcoupefiatfrance@orange.fr,,,lva-auto
CLUB D'JET,35290 Saint-Méen-le-Grand - France,06 43 78 15 51,jfcath.duruy@wanadoo.fr,Pdt : Ãric Denion ; Vice-Pdt et Trés. : Michel Lallement ; Secrét. : Jean-François Duruy ; Secrét. adj. : Olivier Pierrot,http://www.clubdjet.fr,lva-auto
CLUB DATSUN FRANCE,78000 Versailles - France,07 84 91 13 77,contact@datsun-france.fr,Pdt : Sean Dezart ; Trés. : Sylvain Castel ; Secrét. : David Donne,http://www.datsun-france.com,lva-auto
CLUB DE L'AUTO,92800 Puteaux - France,06 84 02 63 31,contact.clubdelauto@orange.fr,Pdte : Jocelyne Sauvegrain ; Vice-Pdt : Gilbert Pillet ; Trés. : Jacques Maison,http://www.clubdelauto.org,lva-auto
CLUB DE L'EST DU VÉHICULE MILITAIRE - CEVM,57640 Vigy - France,03 87 51 21 19,cevm.vigy@gmail.com,Pdt : Serge Grandclair ; Secrét. : Adrien Escudier,,lva-auto
CLUB DE LA CHAPELLE,26160 Souspierre - France,06 72 58 52 47,mossaz.pierre@orange.fr,Pdt : André Dufilho ; Secrét. : Pierre Mossaz ; Trés. : Isabelle Laurent ; Membre Honoraire : Xavier de la Chapelle,,lva-auto
CLUB DE LA DEUCHE FRANC-COMTOISE,70290 Plancher-Bas - France,03 84 46 51 09,deuchefc@laposte.net,Pdt : Xavier Pech,http://deuchefc.fr,lva-auto
CLUB DE VÉHICULES ANCIENS D'ALSACE MULHOUSE - CVAAM,68053 Mulhouse Cedex - France,07 86 63 65 98,secretaire-cvaam@orange.fr,"Pdt : Harald Benoist ; Vice-Pdt : Jacques Wiss ; Secrét. : Anita Keller ; Secrét. adj. : Marie-Christine Benoist ; Trés. : Maurice Duss ; Trés. adj. : Hervé Fleurent ; Resp. logistique : Marie-Christine Benoist, Hervé Fleurent ; Resp. comm. : J",http://www.cvaam.com,lva-auto
CLUB DE VOITURES ANCIENNES DE BEAUCE,28630 Gellainville - France,02 37 24 95 52,voituresanciennesdebeauce@gmail.com,Pdt : James Lefièvre ; Vices-Pdts : Frédéric Lafont et Philippe Cleofort ; Trés. : Guy Louis ; Secrét. : Nelly Merigault,http://http://www.vabchartres.fr/,lva-auto
CLUB DE VOITURES D'ÉPOQUE ET DE COLLECTION - CVEC,21121 Hauteville-lès-Dijon - France,03 80 56 23 05,cvec.dijon@gmail.com,Pdt : Jean-Jacques Collin,,lva-auto
CLUB DELAHAYE,87800 Nexon - France,,135dubos@gmail.com,Pdt : Patrick Lallet ; Pdt d'honneur : Jean-Paul Tissot ; Vice-Pdt et Trés. : Benoît Carrier ; Secrét. Gén. : Stéphane Loret ; Secrét. Adj et com. : Corentin Lallet ; Archives : Jean-Paul Tissot ; Pièces détachées : Patrick Lallet,https://clubdelahaye.com,lva-auto
CLUB DES 2 CV DE L'ORLÉANAIS,45640 Sandillon - France,02 38 41 19 96,contact@2cv-club-orleanais.org,Pdt : Jean-Christophe Bouilland ; Secrét. : Murielle Delmotte ; Trés. : Delphine Boullier ; Com. : Jean-Yves Esnault,http://2cv-club-orleanais.org,lva-auto
CLUB DES AMATEURS DE LA BERLINETTE ALPINE DU CENTRE-OUEST - CABACO,87410 Le Palais-sur-Vienne - France,06 77 11 09 80,cabaco@wanadoo.fr,Pdt : Michel Debry ; Vice-Pdt : Denis Romme ; Secrét. : André Grand ; Trés. : Frédéric Rodier,,lva-auto
CLUB DES AMATEURS DE VÉHICULES D'ÉPOQUE DU TARN-ET-GARONNE - CAVE 82,82100 Castelsarrasin - France,06 10 73 21 92,cave.82@free.fr,Pdt : Renaud Dupart ; Vice-Pdt : Alain Jacquot ; Trés. : Danielle Martin,,lva-auto
CLUB DES AMATEURS DE VOITURES ANCIENNES DES DEUX-SÈVRES - CAVADS,79000 Niort - France,06 12 42 84 85,gouinjm@yahoo.fr,Pdt : J.-M. Gouin ; Trés. : Thierry Chireix ; Secrét. : D. Bouteiller,http://www.cavads79.fr,lva-auto
CLUB DES AMATEURS DE VOITURES DE SPORT NORMANDIE - CAVS NORMANDIE,14790 Verson - France,,contact.cavs@gmail.com,Pdt : Marc Dabre ; Vice-Pdt : Jean-Pierre Hermand ; Trés. : Fabrice Lesaulnier ; Secrét. : Guy Buaillon ; Communication et réseaux : Christophe Jeanne,http://www.cavs-normandie.fr,lva-auto
