id,nom,adresse,telephone,email,bureau,site_internet,lien
C2333,AUTOPASSION 41,41350 Saint-Claude-de-Diray - France,06 64 97 67 81,info@autopassion41.fr,Pdt et Trés. : Laurent Dubois ; Secrét. : Tony Grand,,https://www.lva-auto.fr/annuaire.detail.php?id=C2333&idCategorie=C
C1263,AUTOS MOTOS D'ÉPOQUE CLUB ATLANTIQUE - AMECA,56330 Pluvigner - France,02 90 61 22 07,ameca.pluvigner@wanadoo.fr,Pdt : Michel Cortese,http://ameca56.blogspot.com,https://www.lva-auto.fr/annuaire.detail.php?id=C1263&idCategorie=C
C894,AUTOS MOTOS PASSIONS ICAUNAISES - A.M.P.I.,89240 Pourrain - France,03 86 41 06 58,philippe.rousselat@wanadoo.fr,Pdt : Philippe Rousselat ; Vice-Pdt : Jacques Ploquin ; Trés. : Ãvelyne Rousselat,,https://www.lva-auto.fr/annuaire.detail.php?id=C894&idCategorie=C
C2593,AUTOS MOTOS RÉTRO DE MAMERS - AMRM,72600 Mamers - France,,amrmamers@gmail.com,Pdt : David Mauret ; Secrét. : Thierry Apremont,https://amrmblog.wordpress.com/,https://www.lva-auto.fr/annuaire.detail.php?id=C2593&idCategorie=C
C2311,AUTOTTIKI,64122 Urrugne - France,06 08 57 98 10,club.autottiki@orange.fr,Pdt : François Lebourleux ; Secrét. : Alain Gardinier,,https://www.lva-auto.fr/annuaire.detail.php?id=C2311&idCategorie=C
C1508,AUVERGNE ANCIENNES AUTOMOBILES SPORTIVES - 3AS,63730 La Sauvetat - France,06 81 10 39 06,auvergneanciennesautomobilessportives@orange.fr,Pdt : Dominique Simon ; Vice-Pdt : Jean-Luc Seychal ; Trés. : Christophe Genest ; Trés. adj. : Jean Dassaud ; Secrét. : Luc Deville,http://les3as.simplesite.com,https://www.lva-auto.fr/annuaire.detail.php?id=C1508&idCategorie=C
C195,AZA - AZ AMICALE,09102 Pamiers Cedex - France,06 10 78 29 36,azamicale09@protonmail.com,Pdt : Guy Dejean ; Secrét. : Dominique Garcia,https://azamicale09.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C195&idCategorie=C
C1452,BAS ADOUR RÉTRO CHROMES - BARC,64520 Bidache - France,05 58 73 66 64,jacques.lenguin@orange.fr,Pdt : Jacques De Marez ; Vice-Pdt : Jean-Marc Vaquero ; Pdt d'Honneur. : Denis Dulois ; Trés : Jean-Marc Vaquero ; Trés. adj. : Gérard Datcharry ; Secrét. : Philippe Bougouin,,https://www.lva-auto.fr/annuaire.detail.php?id=C1452&idCategorie=C
C197,BAYEUX RÉTRO AUTO CLUB,14117 Manvieux - France,06 86 80 52 83,brac14400@gmail.com,Pdt : Romain Lutinier ; Trés. : Kévin Rouxel ; Secrét. : Arlette Germond,http://brac-bayeux.blogspot.com,https://www.lva-auto.fr/annuaire.detail.php?id=C197&idCategorie=C
C2158,BAZOCHES 2 CV CLUB,02220 Bazoches-sur-Vesles - France,03 23 53 20 82,,,,https://www.lva-auto.fr/annuaire.detail.php?id=C2158&idCategorie=C
C1257,BBDDEUCH' - BRESSE BUGEY DOMBES DEUCHES,01500 Ambutrix - France,07 71 08 59 99,valentin.jouv@hotmail.fr,Pdt : Ãric Meliani,http://www.bbddeuch.com,https://www.lva-auto.fr/annuaire.detail.php?id=C1257&idCategorie=C
C2633,BEAULIEU CLASSIC AUTO - BCA,19120 Beaulieu-sur-Dordogne - France,06 77 21 17 87,beaulieuclassicauto@hotmail.com,Pdt : Pierre Lherm ; Trés. : Arnaud Bros ; Secrét. : Aurélien Ãloi,,https://www.lva-auto.fr/annuaire.detail.php?id=C2633&idCategorie=C
C1015,BELFORT AUTO RÉTRO,90300 Vétrigne - France,06 95 11 74 97,secretariatbelfortautoretro@yahoo.com,,http://belfortautoretro.com,https://www.lva-auto.fr/annuaire.detail.php?id=C1015&idCategorie=C
C1337,BELLES BAGNOLES BAGNOLAISES,30900 Nîmes - France,04 66 26 38 93,jpgcc@wanadoo.fr,Pdt : Pierre Geminard ; Trés. : Yves jiovannetti ; Secrét. : Evelyne Moreno,,https://www.lva-auto.fr/annuaire.detail.php?id=C1337&idCategorie=C
C1266,BELLES MÉCANIQUES ANCIENNES,45470 Loury - France,06 95 93 19 18,bmaloury@gmail.com,Pdt : Julien Pascal,,https://www.lva-auto.fr/annuaire.detail.php?id=C1266&idCategorie=C
C892,BELLES MÉCANIQUES EN BOURBONNAIS,03260 Billy - France,06 72 80 81 02,vichyelegance@gmail.com,Pdt : Dominique Aujames ; Trés. : Jean-Michel Ander,http://bellesmecaniques.club,https://www.lva-auto.fr/annuaire.detail.php?id=C892&idCategorie=C
C2694,BENTLEY DRIVERS CLUB - French section,44240 La Chapelle-sur-Erdre - France,06 09 24 40 48,french.section.bdc@gmail.com,Pdt : ; Trés. : ; Secrét. :,http://www.fsbdc.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2694&idCategorie=C
C2461,BEP 38,38300 Domarin - France,04 74 93 53 53,saintclair@bep38.net,Pdt : Gérard Moulon ; Trés. : Albert Malécot,http://bep38.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2461&idCategorie=C
C1749,BERGERAC RALLYE CLUB,24100 Bergerac - France,06 85 17 04 83,brc24@free.fr,,http://brc24.free.fr/,https://www.lva-auto.fr/annuaire.detail.php?id=C1749&idCategorie=C
C207,BERLINETTE ALPINE CLUB 54,54110 Dombasle-sur-Meurthe - France,07 86 00 95 61,o.parisse@free.fr,Pdt : Olivier Parisse,,https://www.lva-auto.fr/annuaire.detail.php?id=C207&idCategorie=C
C208,BERLINETTE ALPINE CLUB DES DEUX SAVOIE,74240 Gaillard - France,06 07 78 20 12,bac2s@orange.fr,Pdt : Michel Moge ; Trés. : Fernand Metral,http://www.bac2s.com,https://www.lva-auto.fr/annuaire.detail.php?id=C208&idCategorie=C
C209,BERLINETTE ALPINE CLUB LORRAIN - BACLOR,57130 Sainte-Ruffine - France,06 17 15 05 62,jumpy.a110@free.fr,Pdt : Jean-Pierre Joyeux ; Vice-Pdt : Stéphane Hovasse ; Secrét. : Joël Haas ; Trés. : Laurent Steimetz,http://www.baclor.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C209&idCategorie=C
C1775,BIELLES BREVANNAISES,39100 Brevans - France,06 78 17 22 49,bielles.brevannaises@laposte.net,Pdt : Patrice Verdenet,,https://www.lva-auto.fr/annuaire.detail.php?id=C1775&idCategorie=C
C1769,BIG TOYS ASSOCIATION,10400 La Louptière-Thénard - France,06 86 13 88 58,bigtoys@free.fr,Pdt : Ãric Paget ; Trés. : J.-L. Le Hyaric ; Secrét. : Laurent Lenouvel,http://www.bigtoys.org,https://www.lva-auto.fr/annuaire.detail.php?id=C1769&idCategorie=C
C2394,BLEU 16,01150 Saint-Sorlin-en-Bugey - France,04 74 34 49 84,bleu16ra@gmail.com,Pdte : Fabienne Dubois ; Vice-Pdt : Gérard Dubois ; Trés. : Gaël Ferrazzi ; Secrét. : Lorry Dubois,,https://www.lva-auto.fr/annuaire.detail.php?id=C2394&idCategorie=C
C1693,BMW 2002 TURBO,39000 Lons-le-Saunier - France,03 84 24 74 43,raus.alain@wanadoo.fr,,http://www.bmw-2002-turbo-club.de,https://www.lva-auto.fr/annuaire.detail.php?id=C1693&idCategorie=C
C2220,BMW CLUB ARMORIQUE,56800 Taupont - France,,contact@bmwclubarmorique.fr,Pdt : Quentin Coulombel ; Trés. : Mathieu Boulé ; Secrét. : Jean-Claude Zanutto,http://www.bmwclubarmorique.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2220&idCategorie=C
C215,BMW CLUB DE FRANCE,10300 Macey - France,06 22 12 43 95,bmw.club.de.france@gmail.com,Pdt : Jean-Pierre Brunet ; Vice-Pdte : Patricia Tempe ; Trés. : Michèle Brunet ; Secrét. : Lionel Lepage,http://www.bmwclubdefrance.org,https://www.lva-auto.fr/annuaire.detail.php?id=C215&idCategorie=C
C2487,BMW CLUB E21 FRANCE,94140 Alfortville - France,06 11 40 68 12,club.e21.france@gmail.com,Pdt : Nicolas Fouchard,http://www.bmwclube21.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2487&idCategorie=C
C2688,BOIS 2 VITESSES,76160 Bois-l'Évêque - France,06 18 98 56 70,bois2viteses76160@gmail.com,Pdt : Stéphane Savin ; Trés. : Manu Marques ; Secrét. : Jules Dumont,,https://www.lva-auto.fr/annuaire.detail.php?id=C2688&idCategorie=C
C216,BONS COPAINS ET BELLES GUIMBARDES,26270 Mirmande - France,04 75 63 22 18,bernard.david966@orange.fr,Pdt : Bernard David,,https://www.lva-auto.fr/annuaire.detail.php?id=C216&idCategorie=C
C2108,BOURGOGNE AMERICAN CARS CLUB,21160 Marsannay-la-Côte - France,06 71 84 22 24,bacc@wanadoo.fr,Pdt : Patricia Menetrier,http://www.bac-club.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2108&idCategorie=C
C2114,BOURGOGNE HISTORICS CARS - FFVE,21000 Dijon - France,03 80 30 57 23,fbelorgey@yahoo.fr,Pdt : François Belorgey ; Trés. : Jean-Claude Frionnet ; Secrét. : Céline Briffault,,https://www.lva-auto.fr/annuaire.detail.php?id=C2114&idCategorie=C
C1378,BRETAGNE FLORIDE CARAVELLE CLUB,22470 Plouézec - France,02 96 22 77 75,jean-luc.le-meur@wanadoo.fr,Pdt : Jean-Luc Le Meur,http://bretagnefloridecaravelleclub.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1378&idCategorie=C
C217,BRETELLES DENTELLES ET VIEILLES SOUPAPES,22340 Plévin - France,06 87 66 65 11,jean-claude.dede@wanadoo.fr,Pdt : Jean-Claude Dédé,http://bdvs.leforum.eu,https://www.lva-auto.fr/annuaire.detail.php?id=C217&idCategorie=C
C2015,BREUILLET AUTO RÉTRO PASSION,17920 Breuillet - France,06 70 70 70 90,club.barp@orange.fr,Pdt : J.-L Noël . ; Trés. : J. Chardavoine ; Secrét. : J. Noël,,https://www.lva-auto.fr/annuaire.detail.php?id=C2015&idCategorie=C
C219,BRITISH AUTOMOBILE CLUB DE FRANCE,77950 Maincy - France,01 60 68 84 92,,Pdt : Joël Rebours ; Trés. : Jean-Michel Seigle ; Secrét. : Dominique Bedu ; Administrateur : Thierry Guyot,,https://www.lva-auto.fr/annuaire.detail.php?id=C219&idCategorie=C
C221,BRITISH CAR CLUB MARSEILLE-PROVENCE,13008 Marseille - France,04 91 76 52 69,bccmarseille@british-car-club.com,Pdt : Jacques Paulet ; Vice-Pdt : Frédéric Serf-May ; Membres : Pierre Cassini et Dr Nicolas Sananès,http://www.british-car-club.com,https://www.lva-auto.fr/annuaire.detail.php?id=C221&idCategorie=C
C146,BS RACING - ALPINE LEGENDE UNIVER,85270 Saint-Hilaire-de-Riez - France,06 12 71 87 80,contact@bsracing.fr,,http://www.bsracing.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C146&idCategorie=C
C2382,BUBBLECARS ET SCOOTERS EN BOURGOGNE - BSB,71670 Le Breuil - France,06 07 80 39 54,bisbi.bsb@aero-jean-do.com,Pdt : Jean-Do ; Trés. : Didier Digoix ; Secrét. : Marc Alavoine,http://bubblecars.aero-jean-do.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2382&idCategorie=C
C1478,BUCKLER REGISTER RACING CARS,56890 Plescop - France,,johan.letoquin@free.fr,,http://www.bucklercars.com,https://www.lva-auto.fr/annuaire.detail.php?id=C1478&idCategorie=C
C1453,BURDIGALA DEUCHES,33112 Saint-Laurent-Médoc - France,06 19 21 95 55,sabine.bleriot@hotmail.fr,Pdte : Sabine Blériot,https://fr-fr.facebook.com/ClubBurdigalaDeuches,https://www.lva-auto.fr/annuaire.detail.php?id=C1453&idCategorie=C
C237,C.A.R. LYONNAIS,69390 Charly - France,06 98 93 43 40,clubrenaultlyon@free.fr,Pdt : Jacques Vignaud ; Vice-Pdt : Jean-Louis Saniel ; Trés. : Serge Granjon et Charly Bazin ; Secrét. : Patrick Navetat et Sergio Sampaïo,http://clubrenaultlyon.free.fr/,https://www.lva-auto.fr/annuaire.detail.php?id=C237&idCategorie=C
C379,C.L.U.B. SAVOIE,74800 Amancy - France,04 50 03 43 44,jchaffard@yahoo.fr,Pdt : Jean-Pierre Chaffard ; Vice-Pdts : Jacky Zagga et Michel Royboz ; Secrét. : Dominique Fournier,http://www.letourdumontblanc.com,https://www.lva-auto.fr/annuaire.detail.php?id=C379&idCategorie=C
C2130,C.U.B.E.S. - CITROËN UTILITAIRE BREAK ENTREPRISE SERVICE,21110 Genlis - France,06 60 55 30 91,association.cubes@gmail.com,Pdt : Emmanuel De Montaudouin ; Secrét. : Jérôme Paillard,,https://www.lva-auto.fr/annuaire.detail.php?id=C2130&idCategorie=C
C2608,C4 C6 HISTORIQUE CLUB,77178 Saint-Pathus - France,06 61 64 81 16,bureau@citroen-ac4.fr,Pdt : Gérald Boularand ; Trés. : Jérôme Le Tacon ; Secrét. : Claude Delaire,http://www.citroen-ac4.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2608&idCategorie=C
C2428,C4-C6 VINTAGE CLUB,17340 Châtelaillon-Plage - France,06 25 25 01 64,cvintageclub@gmail.com,Pdt. : Joël Robiteau ; Secrét. : Dominique Binet ; Trés. : Bernard Gouineau,http://www.citroen-c4c6.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2428&idCategorie=C
C2275,CABR AUTO PASSION,13380 Plan-de-Cuques - France,04 91 05 75 27,jeandichiara@yahoo.fr,Pdte : Marie-France Di Chiara ; Trés. : Jean-Nöel Suquet ; Secrét. : André Gouirand,http://www.cabrautopassion.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2275&idCategorie=C
C1426,CABRIOLETS EN MANCHE,50000 Saint-Lô - France,06 70 70 03 98,aremoneveucab@yahoo.fr,Pdt : Alain NeveuS,http://cabriolets-en-manche.blogpot.com,https://www.lva-auto.fr/annuaire.detail.php?id=C1426&idCategorie=C
C2241,CACTUS ORGANISATION,83330 Le Castellet - France,06 60 61 56 54,contact@cactus-organisation.com,Pdt : Jean Cioppani ; Trés. : Fabrice Barbanson,http://www.cactus-organisation.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2241&idCategorie=C
C1666,CADILLAC LASALLE CLUB FRANCE,37120 Richelieu - France,02 47 58 18 64,gravel.not@wanadoo.fr,Pdt : Pierre Gravel ; Trés. Danielle Lepron,https://cadillac-lasalle-club.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1666&idCategorie=C
C1223,CAEN RÉPLIQUE AUTO CLUB - CRAC,14000 Caen - France,02 31 86 39 22,crac.caen@gmail.com,Pdt : Pascal Mette ; Trés. : Jacky Lebouvier ; Secrét. : Jacques Clémentine,http://crac-caen.blogspot.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1223&idCategorie=C
C225,CAHORS AUTO RÉTRO,46000 Cahors - France,05 65 53 94 02,cahorsautoretro46@orange.fr,Pdt fondateur : Jean-Louis Marre ; Pdt : Jean-Marc Fourcaud ; Trés. : Philippe Prevost ; Secrét. : Alexandre Tornel,http://www.cahors-auto-retro.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C225&idCategorie=C
C82,CALAIS AUTO RACING,62610 Ardres - France,06 83 75 62 25,lionel.lannoy@yahoo.fr,Pdt : Dimitri Hembert ; Vice-Pdt : Lionel Lannoy ; Trés. : Gérald Becquet,http://www.calaisautoracing.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C82&idCategorie=C
C226,CALANDRE AUTO CLUB,78690 Les Essarts-le-Roi - France,06 46 65 16 26,bride.pat@gmail.com,Pdt : Alain Cassina ; Trés. : Patrick Bride ; Secrét. : Thierry Landa,,https://www.lva-auto.fr/annuaire.detail.php?id=C226&idCategorie=C
C227,CALANDRE CLUB D'ARMOR,22810 Plougonver - France,06 71 57 24 30,president@ccarmor.net,Pdt : Dominique Ranc ; Vice-Pdte : Solven Jouet ; Trés. : Odile Pastol ; Secrét. : Véronique Lemaitre ; Webmaster : Yann Civilise,http://www.ccarmor.net,https://www.lva-auto.fr/annuaire.detail.php?id=C227&idCategorie=C
C745,CALANDRE ET TORPÉDO,29600 Morlaix - France,02 98 78 64 35,webmaster@calandretorpedo.com,Pdte : Marie-Christine Bourven ; Vice-Pdt : Jean-Pierre Renaud ; Trés. : Camille Kerharo ; Trés. adj. : Cédric Kerbrat ; Secrét. : Brigitte Stéphan ; Secrét. adj. : Raymond Emeillat ; Vice-Pdt utilitaires : Antoine Cardinal ; Vice-Pdt 2 roues,http://www.calandretorpedo.com,https://www.lva-auto.fr/annuaire.detail.php?id=C745&idCategorie=C
C228,CALANDRE RÉTRO ROUENNAISE,76410 Saint-Aubin-lès-Elbeuf - France,06 22 18 10 71,fcrochemore@msn.com,Pdt : Francis Crochemore ; Vice-Pdt : Frédéric Hérout ; Trés. : Brigitte Roussel ; Secrét. : Bruno Malsang,http://www.calandreretro.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C228&idCategorie=C
C2166,CALVADEUCHE CLUB,14170 Saint-Pierre-sur-Dives - France,02 31 20 92 79,calvadeuche@orange.fr,Pdt : Claude Letellier ; Trés. : Michaël Lebigre ; Secrét. : Christophe Letellier,,https://www.lva-auto.fr/annuaire.detail.php?id=C2166&idCategorie=C
C1122,CAMP - CLUB AUTOS MINIATURES PEUGEOT,25230 Seloncourt - France,07 85 46 60 88,camp@campeugeot.fr,Pdt : Alain Bermond ; Trés. : Didier Bhyssenne ; Secrét. : Rémi Humbertclaude,http://www.campeugeot.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1122&idCategorie=C
C1404,CANCOILL'COX,70200 Lure - France,,gaudey.sebastien@gmail.com,Pdt : Sébastien Gaudey,,https://www.lva-auto.fr/annuaire.detail.php?id=C1404&idCategorie=C
C2466,CAPESTANG CLASSIQUES,34310 Capestang - France,06 01 44 43 30,capestangclassiques@gmail.com,Pdt : Gabin Metgy,https://capestangclassiques.jimdo.com/,https://www.lva-auto.fr/annuaire.detail.php?id=C2466&idCategorie=C
C2467,CAPESTANG CLASSIQUES,34310 Capestang - France,06 01 44 43 30,capestangclassiques@gmail.com,Pdt : Gabin Metgy,https://capestangclassiques.jimdo.com/,https://www.lva-auto.fr/annuaire.detail.php?id=C2467&idCategorie=C
C2434,CAPOT'ANTIC PROVENCE,13016 Marseille - France,06 67 06 83 72,capeau.bernard@orange.fr,Pdt : Bernard Capeau ; Trés. : François-Xavier Capeau,http://www.capotantic-provence.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2434&idCategorie=C
C1459,CAPVA,85160 Saint-Jean-de-Monts - France,02 51 58 19 90,martineaumoi@aol.com,,http://www.capva-vendee.com,https://www.lva-auto.fr/annuaire.detail.php?id=C1459&idCategorie=C
C230,CAR BORDEAUX - CLUB DES AMATEURS D'ANCIENNES RENAULT,33370 Artigues-près-Bordeaux - France,,,Pdte : H. Jonquet ; Co-Pdt : J. Renaudineau ; Vice-Pdt : D. France ; Trés. : Karine Goulard,,https://www.lva-auto.fr/annuaire.detail.php?id=C230&idCategorie=C
C231,CAR CLÉON NORMANDIE - CLUB DES AMATEURS D'ANCIENNES RENAULT,27370 La Pyle - France,06 70 71 50 09,car_cleon@yahoo.fr,Pdt : Alain Kehr ; Trés. : Myriam Confais ; Secrét. : David Confais,http://www.car-cleon.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C231&idCategorie=C
C232,CAR DOUAI - CLUB DES AMATEURS D'ANCIENNES RENAULT,59500 Douai - France,06 47 22 38 63,la-spina.tonino@orange.fr,Pdt : La Spina ; Secrét. : Lucien Hallé,http://cardouai.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C232&idCategorie=C
C233,CAR GOLFE DU LION - CLUB DES AMATEURS D'ANCIENNES RENAULT,34290 Abeilhan - France,06 80 60 57 70,drabaud@wanadoo.fr,Pdt : Didier Rabaud,https://car-golfe-du-lion.wixsite.com/car-golfe-du-lion,https://www.lva-auto.fr/annuaire.detail.php?id=C233&idCategorie=C
C234,CAR HISTO BUS,14000 Caen - France,06 78 83 15 00,contact@car-histo-bus.org,Pdt : Martial Leroux ; Vice-Pdt : Ãric Tourniquet ; Trés. : Daniel Crosnier ; Secrét. : Patrick Delavaux,http://www.car-histo-bus.org,https://www.lva-auto.fr/annuaire.detail.php?id=C234&idCategorie=C
C235,CAR ILE-DE-FRANCE - CLUB DES AMATEURS D'ANCIENNES RENAULT,92350 Le Plessis-Robinson - France,,contact@anciennesrenault.com,Pdt : Henri Dupont ; Trés. : Laurent Le Maître ; Secrét. : Jean-Pierre Delaunoy,http://www.anciennesrenault.com,https://www.lva-auto.fr/annuaire.detail.php?id=C235&idCategorie=C
C907,CAR ISÈRE,38130 Échirolles - France,07 61 06 05 82,car.renault.isere@gmail.com,"Pdt : Denis François ; Vice-Pdt : Didier Caroff ; Trés. : André Bolle-Reddat ; Secrét. : Dominique Sempère ; Conseil d'admin. : Bernard Bertossa, Denis Gaillard, Christophe Guillaume et Gilles Pietrini ; Contrôleur des comptes : Hélène Ravel",https://www.carisere.fr/,https://www.lva-auto.fr/annuaire.detail.php?id=C907&idCategorie=C
C236,CAR LE MANS - CLUB DES AMATEURS D'ANCIENNES RENAULT,72100 Le Mans - France,06 09 63 38 84,president@car-le-mans.fr,Co-Pdts : Sylvain Guyon et Gérôme Guicherd ; Trés. : Jacky Racois,http://www.car-le-mans.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C236&idCategorie=C
C238,CAR OCCITAN - CLUB DES AMATEURS D'ANCIENNES RENAULT,81310 Lisle-sur-Tarn - France,05 63 40 42 35,jj.lherm@gmail.com,Pdt : J.-J. Lherm ; Trés. : Philippe Dubreuil ; Secrét. : Philippe Berthelot,http://caroccitan.fr/,https://www.lva-auto.fr/annuaire.detail.php?id=C238&idCategorie=C
C2602,CAR PAYS DES SOURCES,60490 Ressons-sur-Matz - France,06 43 74 11 66,taximaxime@orange.fr,Pdt : Maxime Carlier ; Vice-Pdt. : Didier Dubois ; Trés. : Christophe Bidaut ; Trés. adj. : Clément Bibaut ; Secrét. : Corinne Carlier ; Secrét. adj. : Ãric Gouttefangeas,http://www.alpinerenaultressons.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2602&idCategorie=C
C240,CAR SANDOUVILLE/LE HAVRE - CLUB DES AMATEURS D'ANCIENNES RENAULT,27290 Condé-sur-Risle - France,06 15 55 37 90,carsandouville@yahoo.fr,Pdt : Alain Courel ; Vice-Pdt : Didier Fleury ; Trés. : Catherine Fleury; Trés. adj. : Daniel Defin ; Secrét. : Séverine Machard,http://www.carsandouvillelehavre.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C240&idCategorie=C
C2260,CARCO,21550 Ladoix-Serrigny - France,03 80 26 40 81,carco21000@gmail.com,Pdt : Hervé Deflandre ; Secrét. : Claude Marche ; Trés. : Sylvie Gilbert,,https://www.lva-auto.fr/annuaire.detail.php?id=C2260&idCategorie=C
C2248,CARMS - CLUB AUTO RÉTRO DES MONTS DU SOIR,42600 Montbrison - France,06 85 02 83 19,carms42600@gmail.com,,http://www.autoretro-montbrison.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2248&idCategorie=C
C869,CASTEL AUTOMOBILE CLUB,02400 Château-Thierry - France,,contact@castelautoclub.com,Pdt : Christian Gaudet,http://www.castelautoclub.com,https://www.lva-auto.fr/annuaire.detail.php?id=C869&idCategorie=C
C241,CAUSSADE LOCOMOTION,82300 Caussade - France,06 86 48 61 89,caussade.locomotion@gmail.com,"Pdts : Jean-Marc Cambon et Jacques Vidaillac ; Vice-Pdts : Daniel Miquel et Denis Royer ; Trés. : Ãliette Paganelle ; Trés. adj. : Monique Vidaillac ; Secrét. : Michel Taly, Secrét. adj. : Mickaël Gayral",,https://www.lva-auto.fr/annuaire.detail.php?id=C241&idCategorie=C
C2,CERCLE CITROËN CÉVENNES,30560 Saint-Hilaire-de-Brethmas - France,04 66 61 39 82,huguettecombes@live.fr,Pdt : Marie-Jeanne Paris ; Trés. : Paulette Pouzol ; Secrét. : Huguette Combes,,https://www.lva-auto.fr/annuaire.detail.php?id=C2&idCategorie=C
C695,CERCLE DE MODÉLISME FERROVIAIRE DE CANNES - CMFC,06150 Cannes-la-Bocca - France,06 89 37 34 39,cmfc.cannes06@gmail.com,Pdt : Claude Ramel ; Trés. : Bernard Charlopin ; Secrét. : Pascal Isnard,http://www.cmfctrain.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C695&idCategorie=C
C925,CERCLE DES COLLECTIONNEURS D'AUTOMOBILES MINIATURES - CCAM,31100 Toulouse - France,06 63 72 09 10,ccam@retrojouets.com,Pdt : Richard Rech ; Vice.-Pdt : Francis Masse ; Trés. : Alain Rigoni ; Trés. adj. et Resp. Comm. : Philippe Autem ; Secrét. : Alain Mazauric ; Secrét. adj. : Frédéric Ete,http://www.retrojouets.com,https://www.lva-auto.fr/annuaire.detail.php?id=C925&idCategorie=C
C246,CERCLE NORMAND DE LA TRACTION AVANT CITROËN - CNTAC,76600 Le Havre - France,02 35 49 25 77,jptalidec@free.fr,Pdt : Jean-Louis Leloarer ; Trés. : Jean-Pierre Talidec ; Secrét. : P. Fouache et Nicole Fouache,,https://www.lva-auto.fr/annuaire.detail.php?id=C246&idCategorie=C
C247,CERCLE PANHARD DU HAUT DE FRANCE,59680 Ferrière-la-Grande - France,03 27 62 90 58,jean-paul.boucly@orange.fr,Pdt : Jean-Paul Boucly ; Trés. : Jean-Claude Duplouy ; Secrét. : Jean-Paul Asset,http://www.cercle-panhard.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C247&idCategorie=C
C250,CERCLE RÉTROMOBILE DU LAURAGAIS - CRL,11420 Molandier - France,,,Pdt : R. Farneda ; Vice-Pdt : Corinne Cilia La Corte ; Trés. : Rachel Lippens ; Secrét : Josette Alvaro,,https://www.lva-auto.fr/annuaire.detail.php?id=C250&idCategorie=C
C1893,CERCLE T,31840 Seilh - France,05 61 59 90 82,cercle.t@orange.fr,Pdt : Jean-Louis Bardou ; Trés. : Pascal Boussemart ; Secrét. : Jean-Jacques Depeyre,http://cerclet.asso.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C1893&idCategorie=C
C251,CÉVENNES CLUB ALPINE GORDINI,30560 Saint-Hilaire-de-Brethmas - France,,jacky.mialhe@orange.fr,Pdt : Jacky Mialhe ; Trés. : Christian Polge ; Secrét. : Dider Jardon,http://cevennes-club-alpine-gordini.com/,https://www.lva-auto.fr/annuaire.detail.php?id=C251&idCategorie=C
C2198,CH'TI DEUCH CLUB,59890 Deûlémont - France,06 71 27 77 97,costemend.olivier@orange.fr,Pdt : Olivier Costemend,,https://www.lva-auto.fr/annuaire.detail.php?id=C2198&idCategorie=C
C491,CHARBO CLASSIC,38260 La Côte-Saint-André - France,06 18 56 68 35,charbo-classic-fr@asso-web.com,Pdt : Marc Dupré ; Trés. : Bruno Martineau ; Secrét. : Jean-Michel Savary,http://www.charbo-classic.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C491&idCategorie=C
C2048,CHTEAUNEUF AUTO RÉTRO,13220 Châteauneuf-les-Martigues - France,06 84 61 72 11,agrangier@sfr.fr,Pdt : Alain Grangier ; Trés. : Jean-Luc Bremond ; Secrét. : Jean-Marc Garcia,,https://www.lva-auto.fr/annuaire.detail.php?id=C2048&idCategorie=C
C2687,CHTEL RETROMOBILE,63140 Châtel-Guyon - France,06 07 64 45 32,chatelretromobile@gmail.com,Pdt : ; Trés. : ; Secrét. :,http://www.chatel-retromobile.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2687&idCategorie=C
